id,addr,cluster,demand_delivery,demand_pickup,x,y,is_depot,service_time,tw_open,tw_close
0,0,0,0,0,499090.0,4792870.0,True,0,0,1439
1,1.1,1,10,5,500241.0,4792956.0,False,0,0,1439
2,1.2,1,10,0,500731.0,4793130.0,False,0,0,1439
3,1.3,1,5,3,500277.0,4793327.0,False,0,0,1439
4,1.4,1,5,0,499817.0,4793518.0,False,0,0,1439
5,1.5,1,10,5,500136.0,4793842.0,False,0,0,1439
6,1.6,1,10,0,500408.0,4793723.0,False,0,0,1439
7,1.7,1,5,3,500792.0,4793934.0,False,0,0,1439
8,1.8,1,5,0,501039.0,4793705.0,False,0,0,1439
9,1.9,1,10,5,500982.0,4794214.0,False,0,0,1439
10,1.10,1,10,0,500394.0,4794227.0,False,0,0,1439
11,2.1,2,5,3,499115.0,4795417.0,False,0,0,1439
12,2.2,2,5,0,498881.0,4795695.0,False,0,0,1439
13,2.3,2,10,5,498673.0,4795376.0,False,0,0,1439
14,2.4,2,10,0,498739.0,4795896.0,False,0,0,1439
15,2.5,2,5,3,498526.0,4795774.0,False,0,0,1439
16,2.6,2,5,0,498130.0,4795490.0,False,0,0,1439
17,2.7,2,10,5,498516.0,4796163.0,False,0,0,1439
18,2.8,2,10,0,498272.0,4795868.0,False,0,0,1439
19,2.9,2,5,3,498175.0,4796298.0,False,0,0,1439
20,2.10,2,5,0,498015.0,4795931.0,False,0,0,1439
21,3.1,3,10,5,497553.0,4794221.0,False,0,0,1439
22,3.2,3,10,0,497425.0,4794772.0,False,0,0,1439
23,3.3,3,5,3,497331.0,4794585.0,False,0,0,1439
24,3.4,3,5,0,497038.0,4794342.0,False,0,0,1439
25,3.5,3,10,5,497059.0,4794946.0,False,0,0,1439
26,3.6,3,10,0,496882.0,4794721.0,False,0,0,1439
27,3.7,3,5,3,496767.0,4795050.0,False,0,0,1439
28,3.8,3,5,0,496478.0,4794738.0,False,0,0,1439
29,3.9,3,10,5,496704.0,4795411.0,False,0,0,1439
30,3.10,3,10,0,496106.0,4794950.0,False,0,0,1439
31,4.1,4,5,3,496661.0,4791462.0,False,0,0,1439
32,4.2,4,5,0,496209.0,4793224.0,False,0,0,1439
33,4.3,4,10,5,496473.0,4792856.0,False,0,0,1439
34,4.4,4,10,0,496257.0,4792579.0,False,0,0,1439
35,4.5,4,5,3,494399.0,4793788.0,False,0,0,1439
36,4.6,4,5,0,494831.0,4793468.0,False,0,0,1439
37,4.7,4,10,5,495318.0,4793183.0,False,0,0,1439
38,4.8,4,10,0,495617.0,4792600.0,False,0,0,1439
39,4.9,4,5,3,495477.0,4792337.0,False,0,0,1439
40,4.10,4,5,0,494886.0,4792830.0,False,0,0,1439
41,5.1,5,10,5,501836.0,4796229.0,False,0,0,1439
42,5.2,5,10,0,501098.0,4796398.0,False,0,0,1439
43,5.3,5,5,3,500723.0,4795954.0,False,0,0,1439
44,5.4,5,5,0,501359.0,4797029.0,False,0,0,1439
45,5.5,5,10,5,500928.0,4796790.0,False,0,0,1439
46,5.6,5,10,0,501164.0,4797910.0,False,0,0,1439
47,5.7,5,5,3,500545.0,4797095.0,False,0,0,1439
48,5.8,5,5,0,500068.0,4796818.0,False,0,0,1439
49,5.9,5,10,5,500333.0,4797896.0,False,0,0,1439
50,5.10,5,10,0,500013.0,4797383.0,False,0,0,1439
51,6.1,6,5,3,501721.0,4791088.0,False,0,0,1439
52,6.2,6,5,0,502201.0,4791449.0,False,0,0,1439
53,6.3,6,10,5,502459.0,4790936.0,False,0,0,1439
