id,addr,cluster,demand_delivery,demand_pickup,x,y,is_depot,tmp_oid,role,service_time,tw_open,tw_close
0,DEPOT.0,0,0,0,504431.0,4789573.0,True,,,0,0.0,1439.0
1,DEPOT.1,0,0,0,494399.0,4793788.0,True,,,0,0.0,1439.0
2,DEPOT.2,0,0,0,501164.0,4797910.0,True,,,0,0.0,1439.0
3,DEPOT.3,0,0,0,497931.0,4787426.0,True,,,0,0.0,1439.0
4,P.8,4,0,10,496473.0,4792856.0,False,8.0,P,11,642.0,1138.0
5,P.23,3,0,10,496106.0,4794950.0,False,23.0,P,8,512.0,977.0
6,D.35,5,15,0,500545.0,4797095.0,False,35.0,D,15,627.0,916.0
7,P.5,3,0,10,497059.0,4794946.0,False,5.0,P,12,484.0,1097.0
8,P.6,8,0,10,505611.0,4790028.0,False,6.0,P,9,524.0,944.0
9,P.38,9,0,10,503436.0,4794572.0,False,38.0,P,11,584.0,1004.0
10,D.36,4,15,0,496661.0,4791462.0,False,36.0,D,14,598.0,1086.0
11,D.34,2,5,0,498673.0,4795376.0,False,34.0,D,7,554.0,1013.0
12,P.30,3,0,5,497331.0,4794585.0,False,30.0,P,11,531.0,951.0
13,D.40,8,10,0,504608.0,4790038.0,False,40.0,D,15,560.0,931.0
14,D.31,10,10,0,499229.0,4790323.0,False,31.0,D,15,609.0,1094.0
15,D.25,7,5,0,499153.0,4787027.0,False,25.0,D,12,612.0,939.0
16,D.42,8,10,0,506360.0,4790438.0,False,42.0,D,9,636.0,875.0
17,D.46,2,5,0,498015.0,4795931.0,False,46.0,D,8,528.0,1012.0
18,D.45,5,10,0,500928.0,4796790.0,False,45.0,D,12,589.0,959.0
19,P.11,1,0,10,500394.0,4794227.0,False,11.0,P,12,472.0,892.0
20,D.29,9,20,0,503540.0,4795033.0,False,29.0,D,7,657.0,1097.0
21,P.40,2,0,10,498526.0,4795774.0,False,40.0,P,10,411.0,831.0
22,D.20,6,5,0,503197.0,4791554.0,False,20.0,D,9,777.0,1047.0
23,D.33,9,5,0,503846.0,4795755.0,False,33.0,D,6,608.0,1074.0
24,D.27,1,20,0,500408.0,4793723.0,False,27.0,D,12,595.0,892.0
