vehicle_id,depot_id,capacity,start_time,end_time,fixed_cost,variable_cost_per_distance
0,0,100,420,1200,10000.0,1.0
1,0,150,420,1200,15000.0,1.0
2,0,150,420,1200,15000.0,1.0
3,0,80,420,1200,8000.0,1.0
4,80,150,420,1200,15000.0,1.0
5,80,120,420,1200,12000.0,1.0
6,80,100,420,1200,10000.0,1.0
7,80,120,420,1200,12000.0,1.0
8,35,120,420,1200,12000.0,1.0
9,35,150,420,1200,15000.0,1.0
10,35,80,420,1200,8000.0,1.0
11,46,150,420,1200,15000.0,1.0
12,46,150,420,1200,15000.0,1.0
13,46,120,420,1200,12000.0,1.0
14,46,150,420,1200,15000.0,1.0
