id,addr,cluster,demand_delivery,demand_pickup,x,y,is_depot,tmp_oid,role,service_time,tw_open,tw_close
0,DEPOT.0,0,0,0,498881.0,4795695.0,True,,,0,,
1,DEPOT.1,0,0,0,506515.0,4788877.0,True,,,0,,
2,DEPOT.2,0,0,0,498167.0,4787117.0,True,,,0,,
3,DEPOT.3,0,0,0,504483.0,4795356.0,True,,,0,,
4,D.4,9,5,0,503846.0,4795755.0,False,4.0,D,14,710.0,830.0
5,P.13,8,0,20,505034.0,4789160.0,False,13.0,P,7,537.0,957.0
6,P.20,6,0,15,502946.0,4792171.0,False,20.0,P,15,650.0,1182.0
7,D.17,1,15,0,500394.0,4794227.0,False,17.0,D,6,652.0,1140.0
8,P.11,7,0,15,500293.0,4787645.0,False,11.0,P,5,498.0,918.0
9,D.0,5,15,0,500013.0,4797383.0,False,0.0,D,13,576.0,829.0
10,D.9,8,5,0,506360.0,4790438.0,False,9.0,D,13,688.0,1151.0
11,D.2,8,10,0,505127.0,4789903.0,False,2.0,D,12,657.0,1158.0
12,P.4,10,0,5,498127.0,4790145.0,False,4.0,P,15,562.0,1041.0
13,P.41,2,0,15,499115.0,4795417.0,False,41.0,P,14,474.0,894.0
14,P.6,5,0,5,501836.0,4796229.0,False,6.0,P,8,413.0,833.0
15,D.29,7,10,0,497931.0,4787426.0,False,29.0,D,8,639.0,1062.0
16,P.10,8,0,15,506490.0,4789488.0,False,10.0,P,7,572.0,1020.0
17,D.25,3,10,0,497038.0,4794342.0,False,25.0,D,14,688.0,1192.0
18,D.36,6,10,0,501721.0,4791088.0,False,36.0,D,12,601.0,1145.0
19,P.40,6,0,5,503929.0,4790770.0,False,40.0,P,14,540.0,1039.0
20,D.13,4,20,0,496257.0,4792579.0,False,13.0,D,7,700.0,1117.0
21,P.8,6,0,5,503998.0,4791707.0,False,8.0,P,9,422.0,842.0
22,D.37,2,5,0,498516.0,4796163.0,False,37.0,D,12,472.0,838.0
23,P.0,10,0,15,499588.0,4790334.0,False,0.0,P,11,448.0,868.0
24,P.17,3,0,15,496478.0,4794738.0,False,17.0,P,9,398.0,818.0
25,P.15,6,0,10,504151.0,4791353.0,False,15.0,P,13,602.0,1022.0
26,D.35,2,5,0,498272.0,4795868.0,False,35.0,D,7,524.0,1125.0
27,P.29,4,0,10,496209.0,4793224.0,False,29.0,P,13,526.0,962.0
28,P.9,9,0,5,503669.0,4794849.0,False,9.0,P,7,595.0,1015.0
29,D.32,3,5,0,496704.0,4795411.0,False,32.0,D,5,549.0,845.0
30,P.32,9,0,5,503436.0,4794572.0,False,32.0,P,8,428.0,848.0
31,D.31,3,10,0,496882.0,4794721.0,False,31.0,D,12,664.0,997.0
32,P.34,1,0,10,500982.0,4794214.0,False,34.0,P,11,497.0,917.0
33,D.47,5,5,0,500723.0,4795954.0,False,47.0,D,10,558.0,1041.0
34,D.27,3,15,0,497425.0,4794772.0,False,27.0,D,13,550.0,809.0
35,P.1,4,0,20,495318.0,4793183.0,False,1.0,P,13,483.0,951.0
36,P.19,4,0,5,494886.0,4792830.0,False,19.0,P,11,480.0,900.0
37,D.12,1,5,0,500792.0,4793934.0,False,12.0,D,10,555.0,855.0
38,D.41,7,15,0,499415.0,4786662.0,False,41.0,D,7,634.0,802.0
39,D.26,2,5,0,498526.0,4795774.0,False,26.0,D,13,607.0,789.0
40,P.27,1,0,15,500731.0,4793130.0,False,27.0,P,12,477.0,897.0
41,P.37,2,0,5,498175.0,4796298.0,False,37.0,P,9,457.0,877.0
42,D.30,10,15,0,498346.0,4790124.0,False,30.0,D,8,669.0,809.0
43,D.16,4,10,0,495617.0,4792600.0,False,16.0,D,5,699.0,1171.0
44,P.12,6,0,5,502667.0,4792691.0,False,12.0,P,9,509.0,1144.0
45,P.16,2,0,10,498015.0,4795931.0,False,16.0,P,7,571.0,1082.0
46,D.34,5,10,0,500928.0,4796790.0,False,34.0,D,10,550.0,1080.0
47,P.45,5,0,15,501359.0,4797029.0,False,45.0,P,8,442.0,862.0
48,D.10,9,15,0,503906.0,4794468.0,False,10.0,D,14,672.0,1132.0
49,P.3,8,0,15,505089.0,4790292.0,False,3.0,P,7,452.0,872.0
50,P.38,4,0,15,494831.0,4793468.0,False,38.0,P,9,559.0,1159.0
51,D.22,9,10,0,503540.0,4795033.0,False,22.0,D,14,486.0,906.0
52,D.19,5,5,0,500545.0,4797095.0,False,19.0,D,15,638.0,1058.0
53,D.6,6,5,0,502201.0,4791449.0,False,6.0,D,13,636.0,1179.0
54,P.30,8,0,15,504608.0,4790038.0,False,30.0,P,9,556.0,976.0
55,D.42,10,15,0,498475.0,4789858.0,False,42.0,D,14,675.0,1080.0
56,D.14,10,10,0,498602.0,4790280.0,False,14.0,D,6,573.0,984.0
57,D.21,2,5,0,498130.0,4795490.0,False,21.0,D,11,632.0,1067.0
58,P.33,4,0,5,494399.0,4793788.0,False,33.0,P,13,647.0,1067.0
59,P.46,9,0,5,504358.0,4795037.0,False,46.0,P,9,457.0,877.0
60,P.28,1,0,5,501039.0,4793705.0,False,28.0,P,10,391.0,811.0
61,D.45,4,15,0,496473.0,4792856.0,False,45.0,D,7,557.0,874.0
62,P.22,2,0,10,498673.0,4795376.0,False,22.0,P,9,379.0,799.0
63,P.2,8,0,10,505654.0,4788900.0,False,2.0,P,11,622.0,1108.0
64,P.21,1,0,5,500136.0,4793842.0,False,21.0,P,12,577.0,1031.0
65,P.36,4,0,10,495477.0,4792337.0,False,36.0,P,11,484.0,904.0
66,D.33,6,5,0,503197.0,4791554.0,False,33.0,D,11,811.0,1106.0
67,P.39,3,0,5,497553.0,4794221.0,False,39.0,P,8,457.0,877.0
68,D.23,1,5,0,500241.0,4792956.0,False,23.0,D,6,529.0,949.0
69,D.24,5,15,0,501098.0,4796398.0,False,24.0,D,6,750.0,1012.0
70,P.26,4,0,5,496661.0,4791462.0,False,26.0,P,9,520.0,1055.0
71,D.43,2,10,0,498739.0,4795896.0,False,43.0,D,5,632.0,1052.0
72,D.38,5,15,0,500068.0,4796818.0,False,38.0,D,15,671.0,794.0
73,P.35,10,0,5,498973.0,4790007.0,False,35.0,P,10,416.0,836.0
74,P.24,3,0,15,496767.0,4795050.0,False,24.0,P,6,669.0,1094.0
75,P.25,10,0,10,498971.0,4790157.0,False,25.0,P,10,602.0,1090.0
76,P.43,8,0,10,505611.0,4790028.0,False,43.0,P,15,382.0,802.0
77,P.7,7,0,15,501014.0,4787874.0,False,7.0,P,15,445.0,865.0
78,D.15,10,10,0,499663.0,4790455.0,False,15.0,D,9,691.0,1036.0
79,D.7,1,15,0,500277.0,4793327.0,False,7.0,D,12,551.0,838.0
80,D.46,7,5,0,500345.0,4787131.0,False,46.0,D,7,613.0,919.0
81,D.18,7,5,0,499084.0,4786766.0,False,18.0,D,5,623.0,860.0
82,D.5,7,10,0,500523.0,4787850.0,False,5.0,D,15,577.0,817.0
83,D.20,8,15,0,504431.0,4789573.0,False,20.0,D,6,714.0,1166.0
84,D.11,7,15,0,499153.0,4787027.0,False,11.0,D,13,579.0,1192.0
85,D.3,5,15,0,500333.0,4797896.0,False,3.0,D,6,608.0,892.0
86,D.39,1,5,0,499817.0,4793518.0,False,39.0,D,11,522.0,1192.0
87,P.23,1,0,5,500408.0,4793723.0,False,23.0,P,9,382.0,802.0
88,D.1,5,20,0,501164.0,4797910.0,False,1.0,D,12,621.0,976.0
89,P.31,9,0,10,504058.0,4795238.0,False,31.0,P,14,531.0,1082.0
90,D.28,9,5,0,503693.0,4795481.0,False,28.0,D,5,685.0,1142.0
91,P.14,9,0,10,504476.0,4795786.0,False,14.0,P,7,432.0,852.0
92,D.8,6,5,0,503350.0,4791977.0,False,8.0,D,10,446.0,866.0
93,P.47,7,0,5,500889.0,4788353.0,False,47.0,P,12,420.0,840.0
94,P.44,10,0,5,499229.0,4790323.0,False,44.0,P,8,503.0,923.0
95,P.18,6,0,5,502459.0,4790936.0,False,18.0,P,12,522.0,1029.0
96,P.42,3,0,15,497059.0,4794946.0,False,42.0,P,14,573.0,1104.0
97,D.40,10,5,0,498564.0,4790018.0,False,40.0,D,15,644.0,818.0
98,P.5,3,0,10,496106.0,4794950.0,False,5.0,P,5,433.0,853.0
99,D.44,3,5,0,497331.0,4794585.0,False,44.0,D,11,588.0,822.0
