vehicle_id,depot_id,capacity,start_time,end_time,fixed_cost,variable_cost_per_distance,allowed_goods_types
0,11,120,420,1200,12000.0,1.0,"[2, 3]"
1,11,80,420,1200,8000.0,1.0,"[1, 2, 3]"
2,11,120,420,1200,12000.0,1.0,"[1, 3]"
3,11,120,420,1200,12000.0,1.0,"[2, 3]"
4,73,120,420,1200,12000.0,1.0,"[3, 4]"
5,73,120,420,1200,12000.0,1.0,"[1, 2]"
6,73,80,420,1200,8000.0,1.0,"[2, 3]"
7,73,100,420,1200,10000.0,1.0,"[2, 3, 4]"
8,70,120,420,1200,12000.0,1.0,"[2, 3]"
9,70,80,420,1200,8000.0,1.0,"[1, 2]"
10,70,100,420,1200,10000.0,1.0,"[2, 4]"
11,81,120,420,1200,12000.0,1.0,"[1, 2, 3]"
12,81,150,420,1200,15000.0,1.0,"[2, 3]"
13,81,80,420,1200,8000.0,1.0,"[1, 2]"
