id,addr,cluster,demand_delivery,demand_pickup,x,y,is_depot,service_time,tw_open,tw_close
0,0,0,0,0,499090.0,4792870.0,True,0,,
1,1.1,1,0,67,500241.0,4792956.0,False,8,619.0,1131.0
2,1.2,1,37,0,500731.0,4793130.0,False,9,577.0,862.0
3,1.3,1,0,40,500277.0,4793327.0,False,13,505.0,1057.0
4,1.4,1,0,0,499817.0,4793518.0,False,9,487.0,983.0
5,1.5,1,0,67,500136.0,4793842.0,False,6,596.0,1174.0
6,2.1,2,25,0,499115.0,4795417.0,False,9,564.0,908.0
7,2.2,2,25,0,498881.0,4795695.0,False,10,543.0,969.0
8,2.3,2,0,66,498673.0,4795376.0,False,14,498.0,942.0
9,2.4,2,0,0,498739.0,4795896.0,False,9,596.0,979.0
10,2.5,2,25,0,498526.0,4795774.0,False,12,659.0,794.0
11,3.1,3,37,0,497553.0,4794221.0,False,6,490.0,790.0
12,3.2,3,37,0,497425.0,4794772.0,False,13,663.0,818.0
13,3.3,3,0,39,497331.0,4794585.0,False,7,690.0,1172.0
14,3.4,3,0,0,497038.0,4794342.0,False,5,516.0,1154.0
15,3.5,3,0,0,497059.0,4794946.0,True,0,,
16,4.1,4,0,39,496661.0,4791462.0,False,5,718.0,923.0
17,4.2,4,24,0,496209.0,4793224.0,False,11,601.0,1000.0
18,4.3,4,0,66,496473.0,4792856.0,False,6,613.0,1086.0
19,4.4,4,0,13,496257.0,4792579.0,False,11,490.0,1093.0
20,4.5,4,0,39,494399.0,4793788.0,False,13,699.0,1109.0
21,5.1,5,0,66,501836.0,4796229.0,False,14,652.0,874.0
22,5.2,5,36,0,501098.0,4796398.0,False,14,653.0,1047.0
23,5.3,5,24,0,500723.0,4795954.0,False,15,566.0,952.0
24,5.4,5,0,13,501359.0,4797029.0,False,11,498.0,939.0
25,5.5,5,36,0,500928.0,4796790.0,False,8,657.0,1030.0
26,6.1,6,24,0,501721.0,4791088.0,False,12,670.0,822.0
27,6.2,6,0,13,502201.0,4791449.0,False,8,579.0,819.0
28,6.3,6,36,0,502459.0,4790936.0,False,14,682.0,1181.0
29,6.4,6,0,13,502667.0,4792691.0,False,15,526.0,982.0
30,6.5,6,24,0,502946.0,4792171.0,False,9,684.0,939.0
31,7.1,7,0,66,500889.0,4788353.0,False,5,632.0,862.0
32,7.2,7,36,0,501014.0,4787874.0,False,10,487.0,787.0
33,7.3,7,24,0,500523.0,4787850.0,False,11,552.0,1089.0
34,7.4,7,24,0,500293.0,4787645.0,False,15,695.0,983.0
35,7.5,7,36,0,500345.0,4787131.0,False,12,499.0,964.0
36,8.1,8,0,39,506360.0,4790438.0,False,8,581.0,1075.0
37,8.2,8,0,13,506490.0,4789488.0,False,15,637.0,846.0
38,8.3,8,0,0,506515.0,4788877.0,True,0,,
39,8.4,8,0,0,505611.0,4790028.0,False,10,713.0,1186.0
40,8.5,8,24,0,505654.0,4788900.0,False,9,505.0,994.0
41,9.1,9,36,0,504476.0,4795786.0,False,5,502.0,976.0
42,9.2,9,0,13,504483.0,4795356.0,False,7,604.0,981.0
43,9.3,9,0,39,504358.0,4795037.0,False,14,519.0,934.0
44,9.4,9,24,0,503906.0,4794468.0,False,10,622.0,895.0
45,9.5,9,36,0,504058.0,4795238.0,False,11,606.0,936.0
46,10.1,10,0,39,499663.0,4790455.0,False,5,561.0,808.0
47,10.2,10,24,0,499588.0,4790334.0,False,13,624.0,825.0
48,10.3,10,36,0,499229.0,4790323.0,False,15,637.0,1167.0
49,10.4,10,36,0,498971.0,4790157.0,False,11,530.0,1183.0
50,10.5,10,24,0,498973.0,4790007.0,False,11,698.0,860.0
