order_id,node_id,order_type,quantity,goods
0,1,0,10,"[{""goods_type"": 2, ""weight"": 2}, {""goods_type"": 3, ""weight"": 4}, {""goods_type"": 3, ""weight"": 4}]"
1,1,1,3,"[{""goods_type"": 3, ""weight"": 1}, {""goods_type"": 4, ""weight"": 1}, {""goods_type"": 3, ""weight"": 1}]"
2,1,1,2,"[{""goods_type"": 4, ""weight"": 1}, {""goods_type"": 4, ""weight"": 1}]"
3,2,0,10,"[{""goods_type"": 1, ""weight"": 7}, {""goods_type"": 2, ""weight"": 1}, {""goods_type"": 1, ""weight"": 2}]"
4,3,0,4,"[{""goods_type"": 1, ""weight"": 2}, {""goods_type"": 3, ""weight"": 1}, {""goods_type"": 2, ""weight"": 1}]"
5,3,0,1,"[{""goods_type"": 4, ""weight"": 1}]"
6,3,1,3,"[{""goods_type"": 3, ""weight"": 1}, {""goods_type"": 3, ""weight"": 2}]"
7,4,0,4,"[{""goods_type"": 4, ""weight"": 4}]"
8,4,0,1,"[{""goods_type"": 3, ""weight"": 1}]"
9,5,0,10,"[{""goods_type"": 1, ""weight"": 6}, {""goods_type"": 2, ""weight"": 2}, {""goods_type"": 2, ""weight"": 2}]"
10,5,1,5,"[{""goods_type"": 3, ""weight"": 3}, {""goods_type"": 4, ""weight"": 1}, {""goods_type"": 3, ""weight"": 1}]"
11,6,0,5,"[{""goods_type"": 4, ""weight"": 1}, {""goods_type"": 3, ""weight"": 3}, {""goods_type"": 2, ""weight"": 1}]"
12,6,1,3,"[{""goods_type"": 3, ""weight"": 2}, {""goods_type"": 1, ""weight"": 1}]"
13,7,0,5,"[{""goods_type"": 3, ""weight"": 4}, {""goods_type"": 2, ""weight"": 1}]"
14,8,0,10,"[{""goods_type"": 3, ""weight"": 3}, {""goods_type"": 4, ""weight"": 6}, {""goods_type"": 4, ""weight"": 1}]"
15,8,1,5,"[{""goods_type"": 4, ""weight"": 2}, {""goods_type"": 3, ""weight"": 2}, {""goods_type"": 3, ""weight"": 1}]"
16,9,0,8,"[{""goods_type"": 3, ""weight"": 3}, {""goods_type"": 2, ""weight"": 4}, {""goods_type"": 1, ""weight"": 1}]"
17,9,0,1,"[{""goods_type"": 3, ""weight"": 1}]"
18,9,0,1,"[{""goods_type"": 3, ""weight"": 1}]"
19,10,0,5,"[{""goods_type"": 2, ""weight"": 5}]"
20,10,1,3,"[{""goods_type"": 3, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}, {""goods_type"": 3, ""weight"": 1}]"
21,11,0,10,"[{""goods_type"": 2, ""weight"": 8}, {""goods_type"": 1, ""weight"": 2}]"
22,11,1,5,"[{""goods_type"": 4, ""weight"": 1}, {""goods_type"": 3, ""weight"": 3}, {""goods_type"": 4, ""weight"": 1}]"
23,12,0,4,"[{""goods_type"": 4, ""weight"": 3}, {""goods_type"": 4, ""weight"": 1}]"
24,12,0,6,"[{""goods_type"": 2, ""weight"": 3}, {""goods_type"": 4, ""weight"": 3}]"
25,13,0,5,"[{""goods_type"": 2, ""weight"": 3}, {""goods_type"": 2, ""weight"": 2}]"
26,13,1,2,"[{""goods_type"": 3, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}]"
27,13,1,1,"[{""goods_type"": 1, ""weight"": 1}]"
28,14,0,5,"[{""goods_type"": 1, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}, {""goods_type"": 2, ""weight"": 3}]"
29,15,0,10,"[{""goods_type"": 1, ""weight"": 6}, {""goods_type"": 3, ""weight"": 4}]"
30,15,1,5,"[{""goods_type"": 1, ""weight"": 2}, {""goods_type"": 2, ""weight"": 1}, {""goods_type"": 1, ""weight"": 2}]"
31,16,0,5,"[{""goods_type"": 3, ""weight"": 5}]"
32,16,1,3,"[{""goods_type"": 4, ""weight"": 1}, {""goods_type"": 4, ""weight"": 1}, {""goods_type"": 3, ""weight"": 1}]"
33,17,0,3,"[{""goods_type"": 3, ""weight"": 1}, {""goods_type"": 3, ""weight"": 2}]"
34,17,0,1,"[{""goods_type"": 3, ""weight"": 1}]"
35,17,0,1,"[{""goods_type"": 2, ""weight"": 1}]"
36,18,0,10,"[{""goods_type"": 3, ""weight"": 10}]"
37,18,1,5,"[{""goods_type"": 4, ""weight"": 5}]"
38,19,0,10,"[{""goods_type"": 3, ""weight"": 10}]"
39,20,0,5,"[{""goods_type"": 4, ""weight"": 1}, {""goods_type"": 2, ""weight"": 1}, {""goods_type"": 4, ""weight"": 3}]"
40,20,1,3,"[{""goods_type"": 1, ""weight"": 3}]"
41,21,0,10,"[{""goods_type"": 1, ""weight"": 2}, {""goods_type"": 1, ""weight"": 3}, {""goods_type"": 1, ""weight"": 5}]"
42,21,1,5,"[{""goods_type"": 2, ""weight"": 1}, {""goods_type"": 2, ""weight"": 2}, {""goods_type"": 1, ""weight"": 2}]"
43,22,0,10,"[{""goods_type"": 1, ""weight"": 5}, {""goods_type"": 2, ""weight"": 1}, {""goods_type"": 2, ""weight"": 4}]"
44,23,0,5,"[{""goods_type"": 3, ""weight"": 3}, {""goods_type"": 2, ""weight"": 2}]"
45,23,1,3,"[{""goods_type"": 2, ""weight"": 1}, {""goods_type"": 3, ""weight"": 1}, {""goods_type"": 3, ""weight"": 1}]"
46,24,0,5,"[{""goods_type"": 3, ""weight"": 4}, {""goods_type"": 4, ""weight"": 1}]"
47,25,0,10,"[{""goods_type"": 2, ""weight"": 7}, {""goods_type"": 4, ""weight"": 1}, {""goods_type"": 4, ""weight"": 2}]"
48,25,1,5,"[{""goods_type"": 2, ""weight"": 5}]"
49,26,0,5,"[{""goods_type"": 1, ""weight"": 5}]"
50,26,1,3,"[{""goods_type"": 1, ""weight"": 3}]"
51,27,0,2,"[{""goods_type"": 2, ""weight"": 2}]"
52,27,0,1,"[{""goods_type"": 1, ""weight"": 1}]"
53,27,0,2,"[{""goods_type"": 1, ""weight"": 2}]"
54,28,0,10,"[{""goods_type"": 1, ""weight"": 8}, {""goods_type"": 3, ""weight"": 2}]"
55,28,1,5,"[{""goods_type"": 4, ""weight"": 4}, {""goods_type"": 3, ""weight"": 1}]"
56,29,0,8,"[{""goods_type"": 4, ""weight"": 1}, {""goods_type"": 4, ""weight"": 7}]"
57,29,0,2,"[{""goods_type"": 3, ""weight"": 2}]"
58,30,0,5,"[{""goods_type"": 4, ""weight"": 5}]"
59,30,1,3,"[{""goods_type"": 2, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}]"
60,31,0,10,"[{""goods_type"": 4, ""weight"": 1}, {""goods_type"": 4, ""weight"": 2}, {""goods_type"": 4, ""weight"": 7}]"
61,31,1,5,"[{""goods_type"": 4, ""weight"": 1}, {""goods_type"": 4, ""weight"": 3}, {""goods_type"": 4, ""weight"": 1}]"
62,32,0,10,"[{""goods_type"": 4, ""weight"": 6}, {""goods_type"": 4, ""weight"": 3}, {""goods_type"": 4, ""weight"": 1}]"
63,33,0,3,"[{""goods_type"": 3, ""weight"": 1}, {""goods_type"": 2, ""weight"": 1}, {""goods_type"": 4, ""weight"": 1}]"
64,33,0,2,"[{""goods_type"": 4, ""weight"": 2}]"
65,33,1,3,"[{""goods_type"": 2, ""weight"": 3}]"
66,34,0,1,"[{""goods_type"": 3, ""weight"": 1}]"
67,34,0,4,"[{""goods_type"": 4, ""weight"": 3}, {""goods_type"": 2, ""weight"": 1}]"
68,35,0,10,"[{""goods_type"": 1, ""weight"": 6}, {""goods_type"": 3, ""weight"": 4}]"
69,35,1,3,"[{""goods_type"": 2, ""weight"": 1}, {""goods_type"": 3, ""weight"": 1}, {""goods_type"": 4, ""weight"": 1}]"
70,35,1,2,"[{""goods_type"": 3, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}]"
71,36,0,5,"[{""goods_type"": 3, ""weight"": 5}]"
72,36,1,3,"[{""goods_type"": 1, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}]"
73,37,0,5,"[{""goods_type"": 2, ""weight"": 4}, {""goods_type"": 1, ""weight"": 1}]"
74,39,0,10,"[{""goods_type"": 1, ""weight"": 8}, {""goods_type"": 2, ""weight"": 2}]"
75,40,0,5,"[{""goods_type"": 3, ""weight"": 5}]"
76,40,1,1,"[{""goods_type"": 2, ""weight"": 1}]"
77,40,1,2,"[{""goods_type"": 2, ""weight"": 2}]"
78,42,0,1,"[{""goods_type"": 3, ""weight"": 1}]"
79,42,0,9,"[{""goods_type"": 3, ""weight"": 1}, {""goods_type"": 4, ""weight"": 1}, {""goods_type"": 2, ""weight"": 7}]"
80,43,0,5,"[{""goods_type"": 1, ""weight"": 5}]"
81,43,1,3,"[{""goods_type"": 2, ""weight"": 2}, {""goods_type"": 4, ""weight"": 1}]"
82,44,0,5,"[{""goods_type"": 2, ""weight"": 2}, {""goods_type"": 4, ""weight"": 3}]"
83,45,0,10,"[{""goods_type"": 3, ""weight"": 5}, {""goods_type"": 3, ""weight"": 1}, {""goods_type"": 4, ""weight"": 4}]"
84,45,1,5,"[{""goods_type"": 1, ""weight"": 2}, {""goods_type"": 3, ""weight"": 1}, {""goods_type"": 2, ""weight"": 2}]"
