id,addr,cluster,demand_delivery,demand_pickup,x,y,is_depot,tmp_oid,role,service_time,tw_open,tw_close
0,DEPOT.0,0,0,0,496661.0,4791462.0,True,,,0,,
1,DEPOT.1,0,0,0,506515.0,4788877.0,True,,,0,,
2,DEPOT.2,0,0,0,502667.0,4792691.0,True,,,0,,
3,DEPOT.3,0,0,0,498175.0,4796298.0,True,,,0,,
4,D.0,3,10,0,495617.0,4792600.0,False,0.0,D,10,697.0,1001.0
5,D.20,9,10,0,498346.0,4790124.0,False,20.0,D,7,556.0,951.0
6,P.2,1,0,15,499115.0,4795417.0,False,2.0,P,6,562.0,982.0
7,P.17,9,0,10,498127.0,4790145.0,False,17.0,P,14,460.0,880.0
8,P.7,1,0,10,498881.0,4795695.0,False,7.0,P,14,654.0,1074.0
9,P.20,9,0,10,499663.0,4790455.0,False,20.0,P,12,522.0,942.0
10,D.16,1,5,0,498130.0,4795490.0,False,16.0,D,15,653.0,1127.0
11,D.14,5,5,0,504151.0,4791353.0,False,14.0,D,8,555.0,967.0
12,D.1,3,10,0,496209.0,4793224.0,False,1.0,D,12,577.0,902.0
13,P.16,5,0,5,502459.0,4790936.0,False,16.0,P,12,537.0,957.0
14,P.6,9,0,10,498971.0,4790157.0,False,6.0,P,14,486.0,906.0
15,D.17,3,10,0,495318.0,4793183.0,False,17.0,D,7,562.0,1158.0
16,D.22,5,15,0,503350.0,4791977.0,False,22.0,D,7,486.0,1074.0
17,P.10,1,0,15,498015.0,4795931.0,False,10.0,P,15,671.0,1131.0
18,P.21,3,0,10,496257.0,4792579.0,False,21.0,P,7,595.0,1073.0
19,P.3,5,0,15,503998.0,4791707.0,False,3.0,P,9,646.0,1066.0
20,P.11,9,0,10,499229.0,4790323.0,False,11.0,P,12,412.0,832.0
21,P.12,7,0,10,505034.0,4789160.0,False,12.0,P,14,578.0,998.0
22,D.7,1,10,0,498673.0,4795376.0,False,7.0,D,10,674.0,832.0
23,D.12,9,10,0,498602.0,4790280.0,False,12.0,D,15,700.0,1083.0
24,D.13,9,5,0,498475.0,4789858.0,False,13.0,D,8,596.0,1160.0
25,D.6,5,10,0,501721.0,4791088.0,False,6.0,D,6,584.0,1004.0
26,P.22,7,0,15,504608.0,4790038.0,False,22.0,P,10,395.0,815.0
27,D.3,3,15,0,494399.0,4793788.0,False,3.0,D,5,818.0,923.0
28,D.21,1,10,0,498516.0,4796163.0,False,21.0,D,11,672.0,1050.0
29,P.0,7,0,10,505611.0,4790028.0,False,0.0,P,15,511.0,931.0
30,D.18,5,10,0,503197.0,4791554.0,False,18.0,D,9,511.0,782.0
31,D.15,1,10,0,498272.0,4795868.0,False,15.0,D,14,833.0,1167.0
32,D.8,3,5,0,494831.0,4793468.0,False,8.0,D,12,661.0,1114.0
33,P.1,7,0,10,506490.0,4789488.0,False,1.0,P,14,381.0,801.0
34,P.5,9,0,10,499588.0,4790334.0,False,5.0,P,14,487.0,907.0
35,P.9,7,0,5,505089.0,4790292.0,False,9.0,P,6,508.0,996.0
36,D.5,7,10,0,505127.0,4789903.0,False,5.0,D,9,593.0,1037.0
37,D.4,7,10,0,506360.0,4790438.0,False,4.0,D,9,686.0,835.0
38,D.19,9,10,0,498564.0,4790018.0,False,19.0,D,7,605.0,952.0
39,P.18,7,0,10,505654.0,4788900.0,False,18.0,P,7,444.0,864.0
40,P.13,1,0,5,498739.0,4795896.0,False,13.0,P,5,467.0,887.0
41,P.4,3,0,10,494886.0,4792830.0,False,4.0,P,15,476.0,896.0
42,D.11,9,10,0,498973.0,4790007.0,False,11.0,D,13,430.0,814.0
43,P.15,7,0,10,504431.0,4789573.0,False,15.0,P,15,672.0,1111.0
44,P.8,3,0,5,495477.0,4792337.0,False,8.0,P,7,633.0,1124.0
45,P.19,5,0,10,503929.0,4790770.0,False,19.0,P,7,508.0,1011.0
46,P.14,5,0,5,502201.0,4791449.0,False,14.0,P,8,515.0,991.0
47,D.9,3,5,0,496473.0,4792856.0,False,9.0,D,10,663.0,1161.0
48,D.2,1,15,0,498526.0,4795774.0,False,2.0,D,6,579.0,944.0
49,D.10,5,15,0,502946.0,4792171.0,False,10.0,D,12,789.0,881.0
