vehicle_id,depot_id,capacity,start_time,end_time,fixed_cost,variable_cost_per_distance,allowed_goods_types
0,10,80,420,1200,8000.0,1.0,"[1, 2]"
1,10,100,420,1200,10000.0,1.0,"[1, 3]"
2,10,120,420,1200,12000.0,1.0,"[2, 3]"
3,10,150,420,1200,15000.0,1.0,"[2, 3]"
4,33,80,420,1200,8000.0,1.0,"[2, 3]"
5,33,100,420,1200,10000.0,1.0,"[3, 4]"
6,33,150,420,1200,15000.0,1.0,"[1, 3]"
7,48,80,420,1200,8000.0,1.0,"[3, 4]"
8,48,150,420,1200,15000.0,1.0,"[2, 4]"
9,48,80,420,1200,8000.0,1.0,"[1, 2, 3]"
10,48,150,420,1200,15000.0,1.0,"[2, 3]"
