id,addr,cluster,demand_delivery,demand_pickup,x,y,is_depot,tmp_oid,role,service_time,tw_open,tw_close
0,DEPOT.0,0,0,0,498526.0,4795774.0,True,,,0,0.0,1439.0
1,DEPOT.1,0,0,0,506515.0,4788877.0,True,,,0,0.0,1439.0
2,DEPOT.2,0,0,0,498475.0,4789858.0,True,,,0,0.0,1439.0
3,DEPOT.3,0,0,0,502667.0,4792691.0,True,,,0,0.0,1439.0
4,D.11,9,20,0,498346.0,4790124.0,False,11.0,D,11,806.0,987.0
5,P.9,5,0,5,504151.0,4791353.0,False,9.0,P,8,493.0,1016.0
6,P.7,1,0,15,498516.0,4796163.0,False,7.0,P,15,488.0,1117.0
7,P.0,7,0,5,506490.0,4789488.0,False,0.0,P,12,412.0,832.0
8,P.20,1,0,5,498673.0,4795376.0,False,20.0,P,9,532.0,1059.0
9,P.19,5,0,5,503350.0,4791977.0,False,19.0,P,11,576.0,996.0
10,D.4,1,15,0,498015.0,4795931.0,False,4.0,D,14,789.0,1031.0
11,D.7,9,15,0,499663.0,4790455.0,False,7.0,D,7,600.0,967.0
12,P.16,5,0,10,502459.0,4790936.0,False,16.0,P,11,400.0,820.0
13,P.12,5,0,5,503998.0,4791707.0,False,12.0,P,15,516.0,936.0
14,D.2,9,10,0,498973.0,4790007.0,False,2.0,D,15,516.0,794.0
15,D.12,9,5,0,498564.0,4790018.0,False,12.0,D,12,651.0,1080.0
16,P.2,5,0,10,503929.0,4790770.0,False,2.0,P,9,424.0,844.0
17,D.5,7,10,0,504431.0,4789573.0,False,5.0,D,8,654.0,1124.0
18,P.21,9,0,10,499588.0,4790334.0,False,21.0,P,12,514.0,1106.0
19,D.17,5,5,0,502946.0,4792171.0,False,17.0,D,12,649.0,788.0
20,D.16,9,10,0,498971.0,4790157.0,False,16.0,D,7,560.0,1123.0
21,P.1,1,0,5,498272.0,4795868.0,False,1.0,P,10,488.0,908.0
22,D.19,1,5,0,498175.0,4796298.0,False,19.0,D,9,699.0,915.0
23,D.6,1,10,0,498739.0,4795896.0,False,6.0,D,6,559.0,842.0
24,D.20,5,5,0,502201.0,4791449.0,False,20.0,D,12,628.0,918.0
25,D.15,5,5,0,501721.0,4791088.0,False,15.0,D,10,626.0,860.0
26,D.18,7,5,0,505089.0,4790292.0,False,18.0,D,6,522.0,942.0
27,D.13,7,20,0,506360.0,4790438.0,False,13.0,D,9,626.0,1068.0
28,D.0,1,5,0,498130.0,4795490.0,False,0.0,D,5,595.0,1040.0
29,P.13,9,0,20,498602.0,4790280.0,False,13.0,P,14,483.0,1010.0
30,P.5,3,0,10,496257.0,4792579.0,False,5.0,P,10,400.0,820.0
31,P.18,9,0,5,499229.0,4790323.0,False,18.0,P,13,387.0,807.0
32,D.1,3,5,0,494831.0,4793468.0,False,1.0,D,5,567.0,914.0
33,D.22,9,5,0,498127.0,4790145.0,False,22.0,D,15,640.0,980.0
34,P.11,7,0,20,504608.0,4790038.0,False,11.0,P,15,687.0,1107.0
35,D.14,3,10,0,494399.0,4793788.0,False,14.0,D,14,523.0,1047.0
36,P.10,1,0,10,499115.0,4795417.0,False,10.0,P,7,392.0,812.0
37,D.10,7,10,0,505654.0,4788900.0,False,10.0,D,11,552.0,827.0
38,P.3,5,0,15,503197.0,4791554.0,False,3.0,P,8,421.0,841.0
39,D.3,3,15,0,495477.0,4792337.0,False,3.0,D,13,575.0,995.0
40,D.9,7,5,0,505034.0,4789160.0,False,9.0,D,7,540.0,1072.0
41,P.14,3,0,10,494886.0,4792830.0,False,14.0,P,9,458.0,878.0
42,P.15,3,0,5,496473.0,4792856.0,False,15.0,P,7,527.0,951.0
43,D.8,1,5,0,498881.0,4795695.0,False,8.0,D,11,538.0,1139.0
44,P.22,3,0,5,495617.0,4792600.0,False,22.0,P,9,573.0,993.0
45,D.21,3,10,0,496661.0,4791462.0,False,21.0,D,13,578.0,814.0
46,P.17,7,0,5,505127.0,4789903.0,False,17.0,P,11,586.0,1006.0
47,P.8,3,0,5,495318.0,4793183.0,False,8.0,P,6,460.0,880.0
48,P.6,3,0,10,496209.0,4793224.0,False,6.0,P,8,490.0,910.0
49,P.4,7,0,15,505611.0,4790028.0,False,4.0,P,13,616.0,1036.0
