id,addr,cluster,x,y,is_depot,service_time,tw_open,tw_close
0,0,0,499090.0,4792870.0,False,10,377.0,797.0
1,1.6,1,500408.0,4793723.0,False,8,507.0,937.0
2,1.7,1,500792.0,4793934.0,False,5,650.0,1070.0
3,1.8,1,501039.0,4793705.0,False,5,403.0,823.0
4,1.9,1,500982.0,4794214.0,False,10,508.0,1018.0
5,1.10,1,500394.0,4794227.0,False,8,494.0,985.0
6,2.6,2,498130.0,4795490.0,False,5,401.0,821.0
7,2.7,2,498516.0,4796163.0,False,15,560.0,980.0
8,2.8,2,498272.0,4795868.0,False,12,615.0,1136.0
9,2.9,2,498175.0,4796298.0,True,0,0.0,1439.0
10,2.10,2,498015.0,4795931.0,False,12,465.0,885.0
11,3.6,3,496882.0,4794721.0,False,7,407.0,827.0
12,3.7,3,496767.0,4795050.0,False,14,429.0,849.0
13,3.8,3,496478.0,4794738.0,False,12,482.0,902.0
14,3.9,3,496704.0,4795411.0,False,14,429.0,849.0
15,3.10,3,496106.0,4794950.0,False,8,404.0,824.0
16,4.6,4,494831.0,4793468.0,False,10,645.0,1065.0
17,4.7,4,495318.0,4793183.0,False,14,671.0,1114.0
18,4.8,4,495617.0,4792600.0,False,13,516.0,1032.0
19,4.9,4,495477.0,4792337.0,False,13,596.0,1016.0
20,4.10,4,494886.0,4792830.0,False,7,549.0,969.0
21,5.6,5,501164.0,4797910.0,False,14,518.0,942.0
22,5.7,5,500545.0,4797095.0,False,12,483.0,961.0
23,5.8,5,500068.0,4796818.0,False,7,533.0,953.0
24,5.9,5,500333.0,4797896.0,False,13,610.0,1054.0
25,5.10,5,500013.0,4797383.0,False,11,447.0,867.0
26,6.6,6,503197.0,4791554.0,False,13,398.0,818.0
27,6.7,6,503350.0,4791977.0,False,15,516.0,1010.0
28,6.8,6,503929.0,4790770.0,False,7,533.0,970.0
29,6.9,6,503998.0,4791707.0,False,6,573.0,993.0
30,6.10,6,504151.0,4791353.0,False,13,645.0,1065.0
31,7.6,7,499153.0,4787027.0,False,12,663.0,1098.0
32,7.7,7,499084.0,4786766.0,False,10,647.0,1104.0
33,7.8,7,499415.0,4786662.0,False,7,626.0,1046.0
34,7.9,7,497931.0,4787426.0,True,0,0.0,1439.0
35,7.10,7,498167.0,4787117.0,False,9,398.0,818.0
36,8.6,8,505089.0,4790292.0,False,5,493.0,913.0
37,8.7,8,505127.0,4789903.0,False,12,635.0,1116.0
38,8.8,8,505034.0,4789160.0,True,0,0.0,1439.0
39,8.9,8,504608.0,4790038.0,False,12,489.0,1017.0
40,8.10,8,504431.0,4789573.0,False,15,589.0,1097.0
41,9.6,9,503669.0,4794849.0,False,15,577.0,997.0
42,9.7,9,503846.0,4795755.0,True,0,0.0,1439.0
43,9.8,9,503693.0,4795481.0,False,7,385.0,805.0
44,9.9,9,503540.0,4795033.0,False,9,555.0,975.0
45,9.10,9,503436.0,4794572.0,False,7,360.0,780.0
46,10.6,10,498602.0,4790280.0,False,10,480.0,900.0
47,10.7,10,498564.0,4790018.0,False,5,391.0,811.0
48,10.8,10,498475.0,4789858.0,False,13,597.0,1059.0
49,10.9,10,498346.0,4790124.0,False,15,539.0,959.0
50,10.10,10,498127.0,4790145.0,False,9,461.0,881.0
