from_id,to_id
1,3
1,5
4,2
2,3
5,4
8,6
8,9
6,7
6,9
7,8
11,13
11,15
14,12
12,13
5,4
18,16
18,19
16,17
16,19
17,18
21,23
21,25
24,22
22,23
25,24
28,26
28,29
26,27
26,29
27,28
31,33
31,35
34,32
32,33
35,34
38,36
38,39
36,37
36,39
37,38
41,43
41,45
44,42
42,43
45,44
48,46
48,49
46,47
46,49
47,48
5,4
5,2
4,2
1,4
2,3
6,7
9,7
7,8
8,6
8,9
15,14
15,12
14,12
11,14
12,13
16,17
19,17
17,18
18,16
18,19
25,24
25,22
24,22
21,24
22,23
26,27
29,27
27,28
28,26
28,29
35,34
35,32
34,32
31,34
32,33
36,37
39,37
37,38
38,36
38,39
45,44
45,42
44,42
41,44
42,43
46,47
49,47
47,48
48,46
48,49
