id,addr,cluster,x,y,is_depot,service_time,tw_open,tw_close
0,0,0,499090.0,4792870.0,False,15,402.0,822.0
1,1.1,1,500241.0,4792956.0,False,15,397.0,817.0
2,1.2,1,500731.0,4793130.0,False,6,680.0,1121.0
3,1.3,1,500277.0,4793327.0,False,8,438.0,858.0
4,1.4,1,499817.0,4793518.0,False,13,533.0,977.0
5,1.5,1,500136.0,4793842.0,False,11,584.0,1004.0
6,1.6,1,500408.0,4793723.0,False,10,362.0,782.0
7,1.7,1,500792.0,4793934.0,False,6,524.0,944.0
8,1.8,1,501039.0,4793705.0,False,11,525.0,1031.0
9,1.9,1,500982.0,4794214.0,False,5,590.0,1010.0
10,1.10,1,500394.0,4794227.0,False,14,578.0,998.0
11,2.1,2,499115.0,4795417.0,False,7,501.0,921.0
12,2.2,2,498881.0,4795695.0,False,11,397.0,817.0
13,2.3,2,498673.0,4795376.0,False,6,529.0,1063.0
14,2.4,2,498739.0,4795896.0,False,9,478.0,898.0
15,2.5,2,498526.0,4795774.0,False,6,512.0,983.0
16,2.6,2,498130.0,4795490.0,False,13,393.0,813.0
17,2.7,2,498516.0,4796163.0,False,6,401.0,821.0
18,2.8,2,498272.0,4795868.0,False,14,472.0,892.0
19,2.9,2,498175.0,4796298.0,False,14,545.0,965.0
20,2.10,2,498015.0,4795931.0,False,10,487.0,914.0
21,3.1,3,497553.0,4794221.0,False,11,430.0,850.0
22,3.2,3,497425.0,4794772.0,False,6,524.0,1019.0
23,3.3,3,497331.0,4794585.0,False,9,548.0,1064.0
24,3.4,3,497038.0,4794342.0,False,14,435.0,855.0
25,3.5,3,497059.0,4794946.0,False,14,488.0,908.0
26,3.6,3,496882.0,4794721.0,False,10,535.0,955.0
27,3.7,3,496767.0,4795050.0,True,0,0.0,1439.0
28,3.8,3,496478.0,4794738.0,False,8,380.0,800.0
29,3.9,3,496704.0,4795411.0,False,9,623.0,1083.0
30,3.10,3,496106.0,4794950.0,False,8,525.0,973.0
31,4.1,4,496661.0,4791462.0,False,11,527.0,989.0
32,4.2,4,496209.0,4793224.0,False,8,379.0,799.0
33,4.3,4,496473.0,4792856.0,False,15,362.0,782.0
34,4.4,4,496257.0,4792579.0,False,10,499.0,919.0
35,4.5,4,494399.0,4793788.0,False,13,364.0,784.0
36,4.6,4,494831.0,4793468.0,False,14,371.0,791.0
37,4.7,4,495318.0,4793183.0,False,6,505.0,925.0
38,4.8,4,495617.0,4792600.0,False,14,593.0,1086.0
39,4.9,4,495477.0,4792337.0,False,6,520.0,987.0
40,4.10,4,494886.0,4792830.0,False,14,529.0,949.0
41,5.1,5,501836.0,4796229.0,False,7,459.0,879.0
42,5.2,5,501098.0,4796398.0,False,6,694.0,1114.0
43,5.3,5,500723.0,4795954.0,False,10,518.0,938.0
44,5.4,5,501359.0,4797029.0,False,10,636.0,1056.0
45,5.5,5,500928.0,4796790.0,False,10,503.0,923.0
46,5.6,5,501164.0,4797910.0,False,9,583.0,1003.0
47,5.7,5,500545.0,4797095.0,False,6,398.0,818.0
48,5.8,5,500068.0,4796818.0,False,7,427.0,847.0
49,5.9,5,500333.0,4797896.0,False,9,468.0,888.0
50,5.10,5,500013.0,4797383.0,False,15,566.0,986.0
51,6.1,6,501721.0,4791088.0,False,11,515.0,981.0
52,6.2,6,502201.0,4791449.0,False,8,390.0,810.0
53,6.3,6,502459.0,4790936.0,False,13,379.0,799.0
54,6.4,6,502667.0,4792691.0,True,0,0.0,1439.0
55,6.5,6,502946.0,4792171.0,False,7,577.0,1047.0
56,6.6,6,503197.0,4791554.0,False,12,555.0,1095.0
57,6.7,6,503350.0,4791977.0,False,8,601.0,1116.0
58,6.8,6,503929.0,4790770.0,False,11,498.0,924.0
59,6.9,6,503998.0,4791707.0,False,13,418.0,838.0
60,6.10,6,504151.0,4791353.0,False,10,556.0,976.0
61,7.1,7,500889.0,4788353.0,False,9,387.0,807.0
62,7.2,7,501014.0,4787874.0,False,12,575.0,995.0
63,7.3,7,500523.0,4787850.0,False,11,514.0,934.0
64,7.4,7,500293.0,4787645.0,False,13,404.0,824.0
65,7.5,7,500345.0,4787131.0,False,14,387.0,807.0
66,7.6,7,499153.0,4787027.0,False,7,468.0,888.0
67,7.7,7,499084.0,4786766.0,False,15,448.0,868.0
68,7.8,7,499415.0,4786662.0,False,14,410.0,830.0
69,7.9,7,497931.0,4787426.0,False,8,587.0,1109.0
70,7.10,7,498167.0,4787117.0,True,0,0.0,1439.0
71,8.1,8,506360.0,4790438.0,False,13,481.0,901.0
72,8.2,8,506490.0,4789488.0,False,7,561.0,981.0
73,8.3,8,506515.0,4788877.0,True,0,0.0,1439.0
74,8.4,8,505611.0,4790028.0,False,10,505.0,925.0
75,8.5,8,505654.0,4788900.0,False,9,386.0,806.0
76,8.6,8,505089.0,4790292.0,False,12,663.0,1083.0
77,8.7,8,505127.0,4789903.0,False,13,563.0,983.0
78,8.8,8,505034.0,4789160.0,False,14,473.0,893.0
79,8.9,8,504608.0,4790038.0,False,6,571.0,1073.0
80,8.10,8,504431.0,4789573.0,False,9,475.0,895.0
