vehicle_id,depot_id,capacity,start_time,end_time,fixed_cost,variable_cost_per_distance,allowed_goods_types
0,0,150,420,1200,15000.0,1.0,"[1, 3]"
1,0,120,420,1200,12000.0,1.0,"[2, 3]"
2,0,150,420,1200,15000.0,1.0,"[1, 3]"
3,1,120,420,1200,12000.0,1.0,"[2, 3, 4]"
4,1,120,420,1200,12000.0,1.0,"[3, 4]"
5,1,120,420,1200,12000.0,1.0,"[2, 3]"
6,2,80,420,1200,8000.0,1.0,"[1, 2]"
7,2,150,420,1200,15000.0,1.0,"[2, 3]"
8,2,100,420,1200,10000.0,1.0,"[1, 3]"
9,2,100,420,1200,10000.0,1.0,"[1, 2]"
10,3,100,420,1200,10000.0,1.0,"[2, 3, 4]"
11,3,150,420,1200,15000.0,1.0,"[1, 2]"
12,3,80,420,1200,8000.0,1.0,"[1, 2, 3]"
13,3,150,420,1200,15000.0,1.0,"[2, 3, 4]"
