order_id,node_id,order_type,quantity,goods
0,1,0,10,"[{""goods_type"": 3, ""weight"": 10}]"
1,1,1,4,"[{""goods_type"": 4, ""weight"": 1}, {""goods_type"": 2, ""weight"": 1}, {""goods_type"": 3, ""weight"": 2}]"
2,1,1,1,"[{""goods_type"": 2, ""weight"": 1}]"
3,2,0,10,"[{""goods_type"": 4, ""weight"": 6}, {""goods_type"": 3, ""weight"": 2}, {""goods_type"": 4, ""weight"": 2}]"
4,3,0,4,"[{""goods_type"": 4, ""weight"": 4}]"
5,3,0,1,"[{""goods_type"": 1, ""weight"": 1}]"
6,3,1,3,"[{""goods_type"": 2, ""weight"": 3}]"
7,4,0,5,"[{""goods_type"": 4, ""weight"": 2}, {""goods_type"": 3, ""weight"": 3}]"
8,5,0,10,"[{""goods_type"": 2, ""weight"": 5}, {""goods_type"": 4, ""weight"": 3}, {""goods_type"": 4, ""weight"": 2}]"
9,5,1,5,"[{""goods_type"": 3, ""weight"": 3}, {""goods_type"": 3, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}]"
10,6,0,5,"[{""goods_type"": 4, ""weight"": 3}, {""goods_type"": 4, ""weight"": 2}]"
11,6,0,4,"[{""goods_type"": 4, ""weight"": 4}]"
12,6,0,1,"[{""goods_type"": 1, ""weight"": 1}]"
13,7,0,5,"[{""goods_type"": 1, ""weight"": 5}]"
14,7,1,3,"[{""goods_type"": 2, ""weight"": 1}, {""goods_type"": 3, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}]"
15,8,0,1,"[{""goods_type"": 3, ""weight"": 1}]"
16,8,0,3,"[{""goods_type"": 1, ""weight"": 2}, {""goods_type"": 2, ""weight"": 1}]"
17,8,0,1,"[{""goods_type"": 2, ""weight"": 1}]"
18,9,0,5,"[{""goods_type"": 1, ""weight"": 3}, {""goods_type"": 2, ""weight"": 2}]"
19,9,1,3,"[{""goods_type"": 3, ""weight"": 3}]"
20,10,0,3,"[{""goods_type"": 3, ""weight"": 1}, {""goods_type"": 2, ""weight"": 1}, {""goods_type"": 4, ""weight"": 1}]"
21,10,0,2,"[{""goods_type"": 1, ""weight"": 2}]"
22,11,0,10,"[{""goods_type"": 4, ""weight"": 2}, {""goods_type"": 4, ""weight"": 8}]"
23,11,1,5,"[{""goods_type"": 1, ""weight"": 3}, {""goods_type"": 2, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}]"
24,12,0,10,"[{""goods_type"": 2, ""weight"": 4}, {""goods_type"": 4, ""weight"": 1}, {""goods_type"": 4, ""weight"": 5}]"
25,14,0,5,"[{""goods_type"": 1, ""weight"": 2}, {""goods_type"": 2, ""weight"": 3}]"
26,15,0,10,"[{""goods_type"": 3, ""weight"": 10}]"
27,15,1,5,"[{""goods_type"": 3, ""weight"": 5}]"
28,16,0,10,"[{""goods_type"": 1, ""weight"": 3}, {""goods_type"": 1, ""weight"": 5}, {""goods_type"": 1, ""weight"": 2}]"
29,17,0,10,"[{""goods_type"": 4, ""weight"": 10}]"
30,17,1,5,"[{""goods_type"": 4, ""weight"": 1}, {""goods_type"": 3, ""weight"": 3}, {""goods_type"": 2, ""weight"": 1}]"
31,18,0,10,"[{""goods_type"": 1, ""weight"": 1}, {""goods_type"": 3, ""weight"": 9}]"
32,19,0,5,"[{""goods_type"": 4, ""weight"": 5}]"
33,19,1,1,"[{""goods_type"": 3, ""weight"": 1}]"
34,19,1,2,"[{""goods_type"": 4, ""weight"": 1}, {""goods_type"": 2, ""weight"": 1}]"
35,20,0,5,"[{""goods_type"": 3, ""weight"": 3}, {""goods_type"": 3, ""weight"": 1}, {""goods_type"": 3, ""weight"": 1}]"
36,21,0,10,"[{""goods_type"": 4, ""weight"": 10}]"
37,21,1,5,"[{""goods_type"": 4, ""weight"": 4}, {""goods_type"": 3, ""weight"": 1}]"
38,22,0,1,"[{""goods_type"": 1, ""weight"": 1}]"
39,22,0,9,"[{""goods_type"": 1, ""weight"": 9}]"
40,23,0,5,"[{""goods_type"": 3, ""weight"": 1}, {""goods_type"": 3, ""weight"": 4}]"
41,23,1,3,"[{""goods_type"": 3, ""weight"": 3}]"
42,24,0,5,"[{""goods_type"": 4, ""weight"": 2}, {""goods_type"": 3, ""weight"": 3}]"
43,25,0,5,"[{""goods_type"": 3, ""weight"": 1}, {""goods_type"": 1, ""weight"": 4}]"
44,25,1,3,"[{""goods_type"": 2, ""weight"": 2}, {""goods_type"": 2, ""weight"": 1}]"
45,26,0,5,"[{""goods_type"": 3, ""weight"": 3}, {""goods_type"": 4, ""weight"": 2}]"
46,27,0,10,"[{""goods_type"": 2, ""weight"": 10}]"
47,27,1,5,"[{""goods_type"": 1, ""weight"": 3}, {""goods_type"": 3, ""weight"": 2}]"
48,28,0,2,"[{""goods_type"": 1, ""weight"": 1}, {""goods_type"": 3, ""weight"": 1}]"
49,28,0,1,"[{""goods_type"": 1, ""weight"": 1}]"
50,28,0,7,"[{""goods_type"": 1, ""weight"": 6}, {""goods_type"": 2, ""weight"": 1}]"
