id,addr,cluster,demand_delivery,demand_pickup,x,y,is_depot,service_time,tw_open,tw_close
0,0,0,0,0,499090.0,4792870.0,True,0,,
1,1.1,1,19,0,500241.0,4792956.0,False,13,623.0,1059.0
2,1.2,1,0,9,500731.0,4793130.0,False,15,583.0,1190.0
3,1.3,1,9,0,500277.0,4793327.0,False,9,696.0,1157.0
4,1.4,1,9,0,499817.0,4793518.0,False,6,446.0,866.0
5,1.5,1,0,39,500136.0,4793842.0,False,13,399.0,819.0
6,1.6,1,0,8,500408.0,4793723.0,False,11,515.0,1050.0
7,1.7,1,9,0,500792.0,4793934.0,False,8,403.0,823.0
8,1.8,1,0,8,501039.0,4793705.0,False,6,602.0,1086.0
9,2.1,2,9,0,499115.0,4795417.0,False,13,372.0,792.0
10,2.2,2,9,0,498881.0,4795695.0,False,15,376.0,796.0
11,2.3,2,19,0,498673.0,4795376.0,False,11,625.0,1062.0
12,2.4,2,19,0,498739.0,4795896.0,False,9,550.0,970.0
13,2.5,2,9,0,498526.0,4795774.0,False,12,387.0,807.0
14,2.6,2,9,0,498130.0,4795490.0,False,13,531.0,951.0
15,2.7,2,19,0,498516.0,4796163.0,False,5,585.0,1005.0
16,2.8,2,0,0,498272.0,4795868.0,False,9,449.0,869.0
17,3.1,3,19,0,497553.0,4794221.0,False,10,473.0,893.0
18,3.2,3,19,0,497425.0,4794772.0,False,12,582.0,1094.0
19,3.3,3,0,23,497331.0,4794585.0,False,12,643.0,1137.0
20,3.4,3,0,0,497038.0,4794342.0,False,5,608.0,1051.0
21,3.5,3,19,0,497059.0,4794946.0,False,11,376.0,796.0
22,3.6,3,0,8,496882.0,4794721.0,False,15,393.0,813.0
23,3.7,3,0,23,496767.0,4795050.0,False,5,455.0,875.0
24,3.8,3,0,8,496478.0,4794738.0,False,9,506.0,1158.0
25,4.1,4,0,23,496661.0,4791462.0,False,12,548.0,1193.0
26,4.2,4,0,0,496209.0,4793224.0,False,15,496.0,916.0
27,4.3,4,19,0,496473.0,4792856.0,False,9,481.0,914.0
28,4.4,4,19,0,496257.0,4792579.0,False,15,524.0,944.0
29,4.5,4,0,0,494399.0,4793788.0,True,0,,
30,4.6,4,0,8,494831.0,4793468.0,False,6,476.0,896.0
31,4.7,4,19,0,495318.0,4793183.0,False,6,490.0,1186.0
32,4.8,4,19,0,495617.0,4792600.0,False,14,512.0,932.0
33,5.1,5,0,39,501836.0,4796229.0,False,15,512.0,981.0
34,5.2,5,0,8,501098.0,4796398.0,False,15,505.0,1076.0
35,5.3,5,0,23,500723.0,4795954.0,False,8,535.0,955.0
36,5.4,5,9,0,501359.0,4797029.0,False,7,561.0,990.0
37,5.5,5,19,0,500928.0,4796790.0,False,6,457.0,877.0
38,5.6,5,0,8,501164.0,4797910.0,False,11,656.0,1149.0
39,5.7,5,0,23,500545.0,4797095.0,False,13,644.0,1082.0
40,5.8,5,0,8,500068.0,4796818.0,False,11,504.0,924.0
41,6.1,6,0,23,501721.0,4791088.0,False,14,365.0,785.0
42,6.2,6,9,0,502201.0,4791449.0,False,15,586.0,1125.0
43,6.3,6,19,0,502459.0,4790936.0,False,11,531.0,1046.0
44,6.4,6,0,8,502667.0,4792691.0,False,8,502.0,996.0
45,6.5,6,9,0,502946.0,4792171.0,False,13,363.0,783.0
46,6.6,6,0,0,503197.0,4791554.0,False,8,396.0,816.0
47,6.7,6,0,39,503350.0,4791977.0,False,10,556.0,1044.0
48,6.8,6,19,0,503929.0,4790770.0,False,11,486.0,1179.0
49,7.1,7,19,0,500889.0,4788353.0,False,14,511.0,1035.0
50,7.2,7,19,0,501014.0,4787874.0,False,6,470.0,890.0
51,7.3,7,0,23,500523.0,4787850.0,False,7,663.0,1195.0
52,7.4,7,0,0,500293.0,4787645.0,False,15,665.0,1085.0
53,7.5,7,0,39,500345.0,4787131.0,False,12,537.0,960.0
54,7.6,7,19,0,499153.0,4787027.0,False,8,663.0,1098.0
55,7.7,7,0,23,499084.0,4786766.0,False,6,588.0,1143.0
56,7.8,7,0,0,499415.0,4786662.0,True,0,,
57,8.1,8,9,0,506360.0,4790438.0,False,14,629.0,1200.0
58,8.2,8,0,8,506490.0,4789488.0,False,10,609.0,1029.0
59,8.3,8,0,39,506515.0,4788877.0,False,7,530.0,1085.0
60,8.4,8,0,0,505611.0,4790028.0,False,15,626.0,1129.0
61,8.5,8,9,0,505654.0,4788900.0,False,11,511.0,1145.0
62,8.6,8,9,0,505089.0,4790292.0,False,13,383.0,803.0
63,8.7,8,19,0,505127.0,4789903.0,False,14,710.0,1159.0
64,8.8,8,19,0,505034.0,4789160.0,False,9,640.0,1157.0
65,9.1,9,19,0,504476.0,4795786.0,False,8,687.0,1107.0
66,9.2,9,19,0,504483.0,4795356.0,False,15,521.0,941.0
67,9.3,9,9,0,504358.0,4795037.0,False,13,521.0,1116.0
68,9.4,9,0,0,503906.0,4794468.0,True,0,,
69,9.5,9,0,39,504058.0,4795238.0,False,6,368.0,788.0
70,9.6,9,0,0,503669.0,4794849.0,False,8,408.0,828.0
71,9.7,9,0,23,503846.0,4795755.0,False,10,443.0,863.0
72,9.8,9,0,8,503693.0,4795481.0,False,8,695.0,1198.0
73,10.1,10,0,23,499663.0,4790455.0,False,9,650.0,1139.0
74,10.2,10,9,0,499588.0,4790334.0,False,14,384.0,804.0
75,10.3,10,0,39,499229.0,4790323.0,False,12,649.0,1127.0
76,10.4,10,19,0,498971.0,4790157.0,False,8,471.0,891.0
77,10.5,10,9,0,498973.0,4790007.0,False,10,582.0,1002.0
78,10.6,10,0,0,498602.0,4790280.0,False,13,553.0,1062.0
79,10.7,10,19,0,498564.0,4790018.0,False,15,576.0,996.0
80,10.8,10,19,0,498475.0,4789858.0,False,8,521.0,1039.0
