id,addr,cluster,demand_delivery,demand_pickup,x,y,is_depot,service_time,tw_open,tw_close
0,0,0,0,0,499090,4792870,True,0,,
1,1.1,1,10,5,500241,4792956,False,15,532.0,996.0
2,1.2,1,10,0,500731,4793130,False,12,609.0,1031.0
3,1.3,1,5,3,500277,4793327,False,9,563.0,967.0
4,1.4,1,5,0,499817,4793518,False,11,571.0,820.0
5,1.5,1,10,5,500136,4793842,False,14,590.0,936.0
6,1.6,1,10,0,500408,4793723,False,7,667.0,794.0
7,1.7,1,5,3,500792,4793934,False,11,678.0,1080.0
8,1.8,1,5,0,501039,4793705,False,15,651.0,844.0
9,1.9,1,10,5,500982,4794214,False,15,487.0,1124.0
10,1.10,1,10,0,500394,4794227,False,12,654.0,1106.0
11,3.1,3,10,5,497553,4794221,False,9,514.0,788.0
12,3.2,3,10,0,497425,4794772,False,8,685.0,1123.0
13,3.3,3,5,3,497331,4794585,False,12,560.0,908.0
14,3.4,3,5,0,497038,4794342,False,12,643.0,915.0
15,3.5,3,10,5,497059,4794946,False,7,529.0,842.0
16,3.6,3,10,0,496882,4794721,False,10,583.0,918.0
17,3.7,3,5,3,496767,4795050,False,9,611.0,860.0
18,3.8,3,5,0,496478,4794738,False,6,481.0,942.0
19,3.9,3,10,5,496704,4795411,False,12,613.0,1068.0
20,3.10,3,10,0,496106,4794950,False,10,533.0,1040.0
21,5.1,5,10,5,501836,4796229,False,6,585.0,1010.0
22,5.2,5,10,0,501098,4796398,False,9,483.0,820.0
23,5.3,5,5,3,500723,4795954,False,5,533.0,807.0
24,5.4,5,5,0,501359,4797029,False,14,700.0,914.0
25,5.5,5,10,5,500928,4796790,False,10,670.0,980.0
26,5.6,5,10,0,501164,4797910,False,13,625.0,1107.0
27,5.7,5,5,3,500545,4797095,False,5,697.0,1047.0
28,5.8,5,5,0,500068,4796818,False,15,523.0,812.0
29,5.9,5,0,0,500333,4797896,True,0,,
30,5.10,5,10,0,500013,4797383,False,15,641.0,827.0
31,7.1,7,10,5,500889,4788353,False,14,681.0,841.0
32,7.2,7,10,0,501014,4787874,False,7,669.0,995.0
33,7.3,7,5,3,500523,4787850,False,11,707.0,1072.0
34,7.4,7,5,0,500293,4787645,False,8,493.0,878.0
35,7.5,7,10,5,500345,4787131,False,13,574.0,951.0
36,7.6,7,10,0,499153,4787027,False,7,527.0,1139.0
37,7.7,7,5,3,499084,4786766,False,9,494.0,993.0
38,7.8,7,0,0,499415,4786662,True,0,,
39,7.9,7,10,5,497931,4787426,False,7,679.0,814.0
40,7.10,7,10,0,498167,4787117,False,11,685.0,1006.0
41,9.1,9,10,5,504476,4795786,False,9,694.0,880.0
42,9.2,9,10,0,504483,4795356,False,13,669.0,910.0
43,9.3,9,5,3,504358,4795037,False,11,519.0,1036.0
44,9.4,9,5,0,503906,4794468,False,6,692.0,784.0
45,9.5,9,10,5,504058,4795238,False,8,687.0,997.0
46,9.6,9,10,0,503669,4794849,False,13,716.0,1034.0
47,9.7,9,5,3,503846,4795755,False,6,561.0,1138.0
48,9.8,9,5,0,503693,4795481,False,14,590.0,1062.0
49,9.9,9,10,5,503540,4795033,False,13,532.0,986.0
50,9.10,9,10,0,503436,4794572,False,14,503.0,794.0
