id,addr,cluster,demand_delivery,demand_pickup,x,y,is_depot,service_time,tw_open,tw_close
0,DEPOT.0,0,0,0,501173.10951936536,4793310.34646344,True,0,,
1,DEPOT.1,0,0,0,498646.26185412135,4783348.185368244,True,0,,
2,DEPOT.2,0,0,0,494817.3477208399,4796573.46641081,True,0,,
3,C.1,1,10,3,499505.0655284956,4788425.775398771,False,6,551.0,1113.0
4,C.2,1,5,0,499898.14756848826,4788535.196603456,False,5,500.0,781.0
5,C.3,1,5,5,500839.17269879417,4787886.842226346,False,12,497.0,1072.0
6,C.4,1,5,0,498403.6026165644,4785121.266345057,False,7,701.0,1104.0
7,C.5,1,5,0,499811.8541595529,4790113.114189621,False,7,543.0,820.0
8,C.6,1,10,5,499808.31637643336,4787561.469580548,False,10,561.0,1097.0
9,C.7,1,10,0,500786.2000588557,4788032.6310419,False,12,589.0,1095.0
10,C.8,1,10,3,499409.3330533408,4785587.145235153,False,13,718.0,890.0
11,C.9,1,5,0,500465.0579732597,4787371.367863036,False,13,574.0,793.0
12,C.10,1,15,5,501004.6249585553,4787881.124905148,False,8,645.0,1010.0
13,C.11,1,10,0,497461.6364754029,4787216.021734639,False,9,511.0,863.0
14,C.12,1,10,10,501083.7574921407,4788431.694231223,False,6,490.0,909.0
15,C.13,1,15,3,498498.9418434492,4788945.514177595,False,15,524.0,1010.0
16,C.14,1,20,0,498368.6715091179,4785772.871483118,False,13,696.0,1105.0
17,C.15,1,5,3,496226.05172783317,4788405.244698549,False,12,512.0,924.0
18,C.16,1,5,10,498717.5868019849,4787858.307941757,False,7,581.0,1124.0
19,C.17,1,15,0,499675.5716664188,4787379.464806391,False,15,648.0,807.0
20,C.18,1,10,0,499221.41203248093,4785500.125619766,False,13,615.0,845.0
21,C.19,1,5,0,499126.3677677579,4789160.918530238,False,7,490.0,942.0
22,C.20,1,10,3,498346.4031748047,4787861.229137525,False,13,693.0,1008.0
23,C.21,2,15,3,501806.5987254014,4795550.168063639,False,6,658.0,1040.0
24,C.22,2,10,3,503654.7386475116,4795765.390362007,False,14,567.0,943.0
25,C.23,3,10,0,500653.5742468624,4795717.725889278,False,13,520.0,1080.0
26,C.24,3,15,0,501216.60896713845,4798009.605192611,False,12,624.0,1082.0
27,C.25,3,5,3,503349.363454676,4796411.034736685,False,13,555.0,1066.0
28,C.26,3,5,0,502662.5441065658,4797452.567363007,False,9,600.0,789.0
29,C.27,3,10,0,499667.2771457854,4796076.384900765,False,15,525.0,974.0
30,C.28,3,15,5,500090.4232021247,4794787.934437192,False,15,639.0,897.0
31,C.29,3,5,3,500673.25520022766,4797511.460492998,False,6,686.0,1049.0
32,C.30,3,10,3,498707.8166789941,4795088.4792670915,False,12,559.0,859.0
33,C.31,3,10,5,499197.0158024646,4796337.608136507,False,10,533.0,872.0
34,C.32,3,10,3,498860.6664548678,4796070.658637947,False,12,565.0,1045.0
35,C.33,3,10,5,499429.43603261,4797184.615767056,False,15,571.0,1111.0
36,C.34,3,15,0,502474.22339377593,4796283.066122671,False,9,627.0,1129.0
37,C.35,3,10,0,499780.4113773442,4796796.918205843,False,14,640.0,1140.0
38,C.36,4,10,0,498934.0315130753,4795510.041914724,False,6,681.0,1036.0
39,C.37,4,10,0,503207.11770692735,4798391.856533062,False,10,647.0,912.0
40,C.38,5,10,3,499861.2004596075,4787810.403502143,False,9,639.0,1055.0
41,C.39,5,5,0,499850.4888416856,4785128.724893857,False,9,576.0,1043.0
42,C.40,6,5,0,498093.9704023669,4796226.078359763,False,5,481.0,950.0
43,C.41,6,10,0,496321.16663925565,4794592.116841409,False,6,704.0,780.0
44,C.42,7,5,0,496484.87412909145,4793204.102840397,False,12,512.0,1092.0
45,C.43,7,5,3,495384.8406642366,4792384.880540507,False,7,712.0,843.0
46,C.44,7,10,0,496015.6887610312,4793744.541337206,False,14,684.0,1063.0
47,C.45,7,10,3,497441.0765139969,4795781.606451946,False,7,637.0,900.0
48,C.46,8,5,0,506084.0492924316,4795378.126617291,False,12,640.0,886.0
49,C.47,8,10,3,503133.6011987423,4795850.976562118,False,12,556.0,954.0
50,C.48,8,10,5,502087.9055842111,4797719.069497609,False,6,595.0,983.0
51,C.49,8,5,0,503534.7451230751,4795429.718586377,False,12,633.0,944.0
52,C.50,9,15,3,502468.2539504547,4792946.140721047,False,15,629.0,1084.0
53,C.51,9,10,0,499926.1894935236,4792841.5947990585,False,5,582.0,899.0
54,C.52,9,10,0,500585.5789774271,4793341.512986159,False,10,673.0,823.0
55,C.53,10,10,10,503609.714149591,4794498.396511163,False,12,645.0,1091.0
56,C.54,10,20,0,503221.7288966027,4796473.655505329,False,7,582.0,935.0
57,C.55,11,10,0,502217.13458834984,4788014.630800757,False,12,569.0,986.0
58,C.56,11,10,3,499083.3120527523,4791209.540005688,False,5,653.0,887.0
59,C.57,11,10,0,499292.1254629191,4787486.0962252095,False,15,601.0,1030.0
60,C.58,12,5,5,500848.55944027856,4788496.579051462,False,15,622.0,1113.0
61,C.59,12,5,0,501534.76980644936,4788114.5062484015,False,13,705.0,909.0
