dataset,solver,seed,cmd,ok,return_total_cost,elapsed_wall,cap_violations,cluster_incomplete_block,cluster_refills,cluster_revisit_violations,cluster_split_violations,cluster_violation,distance,fixed,overtime_routes,prohibited_uses,stderr,stdout,tw_penalty,unserved_customers
dataset_test\Osaba_50_2_1\base_50,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_2_1\base_50 --solver dfa --seed 42 --time 5.0 --plot,True,45363.28235613645,475.824,0,0,1,0,0,0,45363.28235613645,0.0,0,0,,"solver: dfa
seed: 42
time: 472.231 s
total_cost: 45363.28235613645
details: {'distance': 45363.28235613645, 'fixed': 0.0, 'tw_penalty': 0.0, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 1, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 21, 22, 23, 26, 27, 25, 24, 29, 30, 28, 36, 37, 34, 31, 32, 33, 35, 38, 40, 39, 41, 42, 43, 44, 45, 47, 48, 49, 50, 46, 11, 14, 13, 12, 18, 19, 20, 17, 16, 15, 6, 7, 9, 10, 8, 5, 4, 2, 1, 3, 0])])
Saved plot to: dataset_test\Osaba_50_2_1\base_50\solution.png",0.0,0
dataset_test\Osaba_50_1_1\base_50,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_1_1\base_50 --solver dfa --seed 42 --time 5.0 --plot,True,47259.69732265582,493.314,0,0,1,0,0,0,47259.69732265582,0.0,0,0,,"solver: dfa
seed: 42
time: 489.056 s
total_cost: 47259.69732265582
details: {'distance': 47259.69732265582, 'fixed': 0.0, 'tw_penalty': 0.0, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 1, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 50, 46, 49, 48, 47, 41, 42, 43, 45, 44, 21, 22, 25, 24, 26, 29, 30, 28, 27, 23, 10, 9, 7, 8, 2, 1, 3, 6, 5, 4, 31, 32, 33, 34, 35, 38, 37, 36, 40, 39, 11, 13, 12, 15, 16, 17, 19, 20, 18, 14, 0])])
Saved plot to: dataset_test\Osaba_50_1_1\base_50\solution.png",0.0,0
dataset_test\Osaba_50_1_2\base_50,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_1_2\base_50 --solver dfa --seed 42 --time 5.0 --plot,True,50444.97373035566,588.28,0,0,2,0,0,0,50444.97373035566,0.0,0,0,,"solver: dfa
seed: 42
time: 585.643 s
total_cost: 50444.97373035566
details: {'distance': 50444.97373035566, 'fixed': 0.0, 'tw_penalty': 0.0, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 2, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 1, 3, 6, 5, 4, 10, 7, 9, 8, 2, 31, 32, 33, 34, 35, 38, 36, 37, 40, 39, 50, 46, 49, 48, 47, 41, 42, 43, 45, 44, 21, 24, 26, 29, 30, 28, 27, 25, 22, 23, 11, 13, 12, 15, 16, 17, 19, 18, 20, 14, 0])])
Saved plot to: dataset_test\Osaba_50_1_2\base_50\solution.png",0.0,0
dataset_test\Osaba_50_2_2\base_50,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_2_2\base_50 --solver dfa --seed 42 --time 5.0 --plot,True,49018.74237456251,606.896,0,0,2,0,0,0,49018.74237456251,0.0,0,0,,"solver: dfa
seed: 42
time: 604.334 s
total_cost: 49018.74237456251
details: {'distance': 49018.74237456251, 'fixed': 0.0, 'tw_penalty': 0.0, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 2, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 21, 22, 23, 26, 24, 25, 27, 29, 30, 28, 36, 37, 34, 31, 32, 33, 35, 38, 40, 39, 11, 14, 13, 12, 18, 19, 17, 20, 16, 15, 6, 10, 8, 9, 7, 4, 5, 2, 1, 3, 41, 42, 43, 44, 45, 47, 48, 49, 50, 46, 0])])
Saved plot to: dataset_test\Osaba_50_2_2\base_50\solution.png",0.0,0
dataset_test\Osaba_50_1_3\base_50,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_1_3\base_50 --solver dfa --seed 42 --time 5.0 --plot,True,61381.10289382719,610.912,0,0,1,0,0,0,61381.10289382719,0.0,0,0,,"solver: dfa
seed: 42
time: 608.439 s
total_cost: 61381.10289382719
details: {'distance': 61381.10289382719, 'fixed': 0.0, 'tw_penalty': 0.0, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 1, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 4, 5, 3, 1, 2, 45, 43, 42, 41, 44, 21, 22, 24, 25, 23, 10, 9, 7, 6, 8, 13, 12, 15, 14, 11, 19, 16, 18, 17, 20, 26, 28, 27, 30, 29, 39, 36, 38, 37, 40, 31, 32, 34, 33, 35, 50, 49, 48, 47, 46, 0])])
Saved plot to: dataset_test\Osaba_50_1_3\base_50\solution.png",0.0,0
dataset_test\Osaba_50_1_4\base_50,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_1_4\base_50 --solver dfa --seed 42 --time 5.0 --plot,True,69680.78260918347,665.287,0,0,2,0,0,0,69680.78260918347,0.0,0,0,,"solver: dfa
seed: 42
time: 662.892 s
total_cost: 69680.78260918347
details: {'distance': 69680.78260918347, 'fixed': 0.0, 'tw_penalty': 0.0, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 2, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 19, 16, 18, 17, 20, 13, 12, 14, 15, 11, 10, 7, 9, 6, 8, 21, 22, 24, 25, 23, 49, 50, 48, 47, 46, 31, 32, 34, 33, 35, 39, 40, 38, 37, 36, 45, 43, 41, 42, 44, 3, 4, 5, 1, 2, 26, 28, 27, 30, 29, 0])])
Saved plot to: dataset_test\Osaba_50_1_4\base_50\solution.png",0.0,0
dataset_test\Osaba_50_2_4\base_50,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_2_4\base_50 --solver dfa --seed 42 --time 5.0 --plot,True,196526.79022040393,686.281,0,0,2,0,0,0,94504.0857844646,0.0,1,0,,"solver: dfa
seed: 42
time: 683.895 s
total_cost: 196526.79022040393
details: {'distance': 94504.0857844646, 'fixed': 0.0, 'tw_penalty': 2022.70443593934, 'cap_violations': 0, 'overtime_routes': 1, 'prohibited_uses': 0, 'cluster_refills': 2, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 10, 8, 7, 9, 6, 38, 40, 37, 39, 36, 1, 2, 4, 3, 5, 45, 43, 44, 41, 42, 34, 31, 32, 35, 33, 19, 18, 17, 20, 16, 48, 47, 49, 50, 46, 11, 12, 14, 13, 15, 27, 29, 30, 26, 28, 23, 22, 24, 25, 21, 0])])
Saved plot to: dataset_test\Osaba_50_2_4\base_50\solution.png",2022.70443593934,0
dataset_test\Osaba_50_2_3\base_50,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_2_3\base_50 --solver dfa --seed 42 --time 5.0 --plot,True,59589.470199869895,714.051,0,0,1,0,0,0,59589.470199869895,0.0,0,0,,"solver: dfa
seed: 42
time: 711.931 s
total_cost: 59589.470199869895
details: {'distance': 59589.470199869895, 'fixed': 0.0, 'tw_penalty': 0.0, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 1, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 6, 8, 10, 9, 7, 24, 25, 23, 22, 21, 43, 42, 41, 44, 45, 29, 27, 26, 30, 28, 39, 40, 38, 37, 36, 3, 2, 4, 5, 1, 11, 12, 14, 13, 15, 16, 18, 20, 17, 19, 32, 35, 33, 31, 34, 48, 47, 49, 50, 46, 0])])
Saved plot to: dataset_test\Osaba_50_2_3\base_50\solution.png",0.0,0
dataset_test\Osaba_80_4\base_50,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_80_4\base_50 --solver dfa --seed 42 --time 5.0 --plot,True,190193.43391452514,917.881,0,0,4,0,0,0,88962.60308455887,0.0,1,0,,"solver: dfa
seed: 42
time: 915.767 s
total_cost: 190193.43391452514
details: {'distance': 88962.60308455887, 'fixed': 0.0, 'tw_penalty': 1230.8308299662822, 'cap_violations': 0, 'overtime_routes': 1, 'prohibited_uses': 0, 'cluster_refills': 4, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 13, 12, 15, 16, 14, 11, 10, 9, 4, 5, 6, 3, 1, 2, 8, 7, 73, 74, 75, 76, 77, 80, 79, 78, 54, 55, 56, 53, 52, 51, 50, 49, 25, 28, 27, 26, 32, 31, 30, 29, 17, 19, 18, 21, 24, 23, 22, 20, 35, 40, 39, 37, 34, 33, 36, 38, 65, 66, 71, 72, 69, 67, 70, 68, 41, 42, 43, 46, 44, 45, 47, 48, 63, 62, 60, 57, 59, 58, 61, 64, 0])])
Saved plot to: dataset_test\Osaba_80_4\base_50\solution.png",1230.8308299662822,0
dataset_test\Osaba_80_2\base_50,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_80_2\base_50 --solver dfa --seed 42 --time 5.0 --plot,True,178806.2232287543,947.867,0,0,3,0,0,0,78716.34303010639,0.0,1,0,,"solver: dfa
seed: 42
time: 945.721 s
total_cost: 178806.2232287543
details: {'distance': 78716.34303010639, 'fixed': 0.0, 'tw_penalty': 89.88019864790431, 'cap_violations': 0, 'overtime_routes': 1, 'prohibited_uses': 0, 'cluster_refills': 3, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 41, 44, 46, 49, 50, 48, 47, 45, 42, 43, 9, 7, 8, 2, 1, 3, 4, 5, 6, 10, 51, 52, 53, 56, 54, 55, 57, 59, 60, 58, 76, 77, 74, 71, 72, 73, 75, 78, 80, 79, 21, 23, 22, 25, 26, 27, 29, 30, 28, 24, 16, 17, 19, 20, 18, 15, 14, 12, 11, 13, 61, 62, 63, 64, 65, 68, 66, 67, 70, 69, 31, 34, 33, 32, 38, 39, 37, 40, 36, 35, 0])])
Saved plot to: dataset_test\Osaba_80_2\base_50\solution.png",89.88019864790431,0
