dataset,solver,seed,cmd,ok,return_total_cost,elapsed_wall,cap_violations,cluster_incomplete_block,cluster_refills,cluster_revisit_violations,cluster_split_violations,cluster_violation,distance,fixed,overtime_routes,prohibited_uses,stderr,stdout,tw_penalty,unserved_customers
dataset_test\Osaba_100_3\base_50,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_100_3\base_50 --solver dfa --seed 42 --time 5000000.0 --plot,True,85415.136956399,185.526,0,0,3,0,0,0,85415.136956399,0.0,0,0,,"solver: dfa
seed: 42
time: 184.287 s
total_cost: 85415.136956399
details: {'distance': 85415.136956399, 'fixed': 0.0, 'tw_penalty': 0.0, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 3, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 51, 52, 53, 56, 54, 55, 57, 59, 60, 58, 76, 77, 74, 71, 72, 73, 75, 78, 80, 79, 61, 62, 63, 64, 65, 68, 66, 67, 70, 69, 91, 92, 93, 94, 95, 97, 98, 99, 100, 96, 31, 34, 33, 32, 38, 39, 40, 37, 36, 35, 30, 28, 26, 29, 27, 25, 22, 23, 24, 21, 81, 82, 83, 85, 88, 87, 89, 90, 86, 84, 41, 44, 46, 49, 50, 48, 47, 45, 42, 43, 11, 12, 14, 15, 17, 19, 20, 18, 16, 13, 1, 3, 6, 5, 4, 10, 7, 9, 8, 2, 0])])
Saved plot to: dataset_test\Osaba_100_3\base_50\solution.png",0.0,0
dataset_test\Osaba_100_2\base_50,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_100_2\base_50 --solver dfa --seed 42 --time 5000000.0 --plot,True,85415.136956399,185.718,0,0,3,0,0,0,85415.136956399,0.0,0,0,,"solver: dfa
seed: 42
time: 184.454 s
total_cost: 85415.136956399
details: {'distance': 85415.136956399, 'fixed': 0.0, 'tw_penalty': 0.0, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 3, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 51, 52, 53, 56, 54, 55, 57, 59, 60, 58, 76, 77, 74, 71, 72, 73, 75, 78, 80, 79, 61, 62, 63, 64, 65, 68, 66, 67, 70, 69, 91, 92, 93, 94, 95, 97, 98, 99, 100, 96, 31, 34, 33, 32, 38, 39, 40, 37, 36, 35, 30, 28, 26, 29, 27, 25, 22, 23, 24, 21, 81, 82, 83, 85, 88, 87, 89, 90, 86, 84, 41, 44, 46, 49, 50, 48, 47, 45, 42, 43, 11, 12, 14, 15, 17, 19, 20, 18, 16, 13, 1, 3, 6, 5, 4, 10, 7, 9, 8, 2, 0])])
Saved plot to: dataset_test\Osaba_100_2\base_50\solution.png",0.0,0
dataset_test\Osaba_100_4\base_50,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_100_4\base_50 --solver dfa --seed 42 --time 5000000.0 --plot,True,85415.136956399,185.864,0,0,3,0,0,0,85415.136956399,0.0,0,0,,"solver: dfa
seed: 42
time: 184.615 s
total_cost: 85415.136956399
details: {'distance': 85415.136956399, 'fixed': 0.0, 'tw_penalty': 0.0, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 3, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 51, 52, 53, 56, 54, 55, 57, 59, 60, 58, 76, 77, 74, 71, 72, 73, 75, 78, 80, 79, 61, 62, 63, 64, 65, 68, 66, 67, 70, 69, 91, 92, 93, 94, 95, 97, 98, 99, 100, 96, 31, 34, 33, 32, 38, 39, 40, 37, 36, 35, 30, 28, 26, 29, 27, 25, 22, 23, 24, 21, 81, 82, 83, 85, 88, 87, 89, 90, 86, 84, 41, 44, 46, 49, 50, 48, 47, 45, 42, 43, 11, 12, 14, 15, 17, 19, 20, 18, 16, 13, 1, 3, 6, 5, 4, 10, 7, 9, 8, 2, 0])])
Saved plot to: dataset_test\Osaba_100_4\base_50\solution.png",0.0,0
dataset_test\Osaba_50_1_2\base_50,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_1_2\base_50 --solver dfa --seed 42 --time 5000000.0 --plot,True,48640.26267551909,37.624,0,0,1,0,0,0,48640.26267551909,0.0,0,0,,"solver: dfa
seed: 42
time: 36.444 s
total_cost: 48640.26267551909
details: {'distance': 48640.26267551909, 'fixed': 0.0, 'tw_penalty': 0.0, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 1, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 1, 3, 6, 5, 4, 10, 7, 9, 8, 2, 50, 46, 49, 41, 42, 43, 45, 47, 48, 44, 21, 22, 25, 24, 26, 29, 30, 28, 27, 23, 11, 13, 12, 15, 16, 17, 19, 20, 18, 14, 39, 40, 36, 37, 38, 35, 34, 33, 32, 31, 0])])
Saved plot to: dataset_test\Osaba_50_1_2\base_50\solution.png",0.0,0
dataset_test\Osaba_50_1_3\base_50,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_1_3\base_50 --solver dfa --seed 42 --time 5000000.0 --plot,True,60764.48418063023,44.307,0,0,1,0,0,0,60764.48418063023,0.0,0,0,,"solver: dfa
seed: 42
time: 43.106 s
total_cost: 60764.48418063023
details: {'distance': 60764.48418063023, 'fixed': 0.0, 'tw_penalty': 0.0, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 1, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 48, 50, 49, 47, 46, 33, 34, 35, 32, 31, 39, 40, 38, 37, 36, 28, 27, 26, 30, 29, 45, 43, 42, 41, 44, 21, 22, 24, 25, 23, 19, 16, 18, 17, 20, 13, 12, 15, 14, 11, 10, 9, 7, 6, 8, 4, 5, 3, 1, 2, 0])])
Saved plot to: dataset_test\Osaba_50_1_3\base_50\solution.png",0.0,0
dataset_test\Osaba_50_1_1\base_50,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_1_1\base_50 --solver dfa --seed 42 --time 5000000.0 --plot,True,47489.73017153168,47.45,0,0,1,0,0,0,47489.73017153168,0.0,0,0,,"solver: dfa
seed: 42
time: 46.25 s
total_cost: 47489.73017153168
details: {'distance': 47489.73017153168, 'fixed': 0.0, 'tw_penalty': 0.0, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 1, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 4, 5, 6, 3, 1, 2, 8, 7, 9, 10, 46, 49, 50, 44, 43, 42, 41, 47, 48, 45, 21, 24, 26, 29, 30, 28, 27, 25, 22, 23, 31, 32, 33, 34, 35, 38, 37, 36, 40, 39, 11, 13, 12, 15, 16, 17, 19, 18, 20, 14, 0])])
Saved plot to: dataset_test\Osaba_50_1_1\base_50\solution.png",0.0,0
dataset_test\Osaba_100_1\base_50,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_100_1\base_50 --solver dfa --seed 42 --time 5000000.0 --plot,True,187451.40666116052,249.269,0,0,3,0,0,0,87451.40666116052,0.0,1,0,,"solver: dfa
seed: 42
time: 248.056 s
total_cost: 187451.40666116052
details: {'distance': 87451.40666116052, 'fixed': 0.0, 'tw_penalty': 0.0, 'cap_violations': 0, 'overtime_routes': 1, 'prohibited_uses': 0, 'cluster_refills': 3, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 91, 92, 93, 94, 95, 97, 98, 99, 100, 96, 31, 34, 33, 32, 38, 39, 40, 37, 36, 35, 30, 28, 26, 25, 27, 29, 22, 23, 24, 21, 90, 86, 89, 88, 87, 85, 83, 82, 81, 84, 41, 44, 46, 49, 50, 48, 47, 45, 42, 43, 11, 12, 14, 15, 18, 20, 19, 17, 16, 13, 51, 52, 53, 56, 57, 55, 54, 59, 60, 58, 74, 77, 76, 79, 80, 78, 75, 73, 72, 71, 61, 62, 63, 64, 65, 68, 67, 66, 70, 69, 1, 3, 6, 5, 4, 10, 7, 8, 9, 2, 0])])
Saved plot to: dataset_test\Osaba_100_1\base_50\solution.png",0.0,0
dataset_test\Osaba_50_2_1\base_50,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_2_1\base_50 --solver dfa --seed 42 --time 5000000.0 --plot,True,46214.16789838903,31.537,0,0,1,0,0,0,46214.16789838903,0.0,0,0,,"solver: dfa
seed: 42
time: 30.262 s
total_cost: 46214.16789838903
details: {'distance': 46214.16789838903, 'fixed': 0.0, 'tw_penalty': 0.0, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 1, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 21, 22, 23, 26, 24, 25, 27, 29, 30, 28, 36, 37, 34, 31, 32, 33, 35, 38, 40, 39, 41, 42, 43, 44, 45, 47, 48, 49, 50, 46, 11, 14, 13, 12, 18, 19, 20, 17, 16, 15, 1, 2, 4, 5, 8, 10, 9, 7, 6, 3, 0])])
Saved plot to: dataset_test\Osaba_50_2_1\base_50\solution.png",0.0,0
dataset_test\Osaba_50_2_2\base_50,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_2_2\base_50 --solver dfa --seed 42 --time 5000000.0 --plot,True,45381.96700301889,37.578,0,0,1,0,0,0,45381.96700301889,0.0,0,0,,"solver: dfa
seed: 42
time: 36.356 s
total_cost: 45381.96700301889
details: {'distance': 45381.96700301889, 'fixed': 0.0, 'tw_penalty': 0.0, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 1, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 21, 22, 23, 26, 24, 25, 27, 29, 30, 28, 36, 37, 34, 31, 32, 33, 35, 38, 40, 39, 41, 42, 43, 44, 45, 47, 48, 49, 50, 46, 11, 14, 13, 12, 18, 19, 17, 20, 16, 15, 6, 7, 9, 10, 8, 5, 4, 2, 1, 3, 0])])
Saved plot to: dataset_test\Osaba_50_2_2\base_50\solution.png",0.0,0
dataset_test\Osaba_50_1_4\base_50,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_1_4\base_50 --solver dfa --seed 42 --time 5000000.0 --plot,True,65996.76271607072,48.816,0,0,1,0,0,0,65996.76271607072,0.0,0,0,,"solver: dfa
seed: 42
time: 47.591 s
total_cost: 65996.76271607072
details: {'distance': 65996.76271607072, 'fixed': 0.0, 'tw_penalty': 0.0, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 1, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 31, 32, 34, 33, 35, 38, 37, 39, 36, 40, 28, 27, 26, 30, 29, 43, 45, 41, 42, 44, 21, 22, 24, 25, 23, 9, 10, 7, 6, 8, 3, 4, 5, 1, 2, 46, 48, 47, 49, 50, 19, 16, 18, 17, 20, 13, 12, 14, 15, 11, 0])])
Saved plot to: dataset_test\Osaba_50_1_4\base_50\solution.png",0.0,0
