dataset,solver,seed,cmd,ok,return_total_cost,elapsed_wall,cap_violations,cluster_incomplete_block,cluster_refills,cluster_revisit_violations,cluster_split_violations,cluster_violation,distance,fixed,overtime_routes,prohibited_uses,stderr,stdout,tw_penalty,unserved_customers
dataset_test\Osaba_100_4\base_50_mdmv_tw,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_100_4\base_50_mdmv_tw --solver dfa --seed 42 --time 5000000.0 --plot,True,90745.99967695154,131.942,0,0,1,0,0,0,89063.98657029602,1300.0,0,0,,"solver: dfa
seed: 42
time: 130.659 s
total_cost: 90745.99967695154
details: {'distance': 89063.98657029602, 'fixed': 1300.0, 'tw_penalty': 382.01310665551273, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 1, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=2, seq=[0, 21, 23, 22, 25, 26, 27, 29, 30, 28, 24, 0]), Route(vehicle_id=3, seq=[0, 11, 12, 14, 15, 17, 19, 20, 18, 16, 13, 1, 3, 6, 5, 4, 10, 7, 9, 8, 2, 0]), Route(vehicle_id=1, seq=[0, 51, 52, 53, 58, 60, 59, 56, 57, 55, 54, 0]), Route(vehicle_id=0, seq=[0, 31, 34, 33, 32, 38, 39, 40, 37, 36, 35, 0]), Route(vehicle_id=4, seq=[95, 91, 92, 93, 94, 96, 97, 98, 99, 100, 95]), Route(vehicle_id=6, seq=[95, 61, 62, 63, 64, 65, 68, 67, 66, 70, 69, 95]), Route(vehicle_id=5, seq=[95, 95]), Route(vehicle_id=8, seq=[46, 81, 82, 83, 85, 87, 88, 89, 86, 90, 84, 41, 44, 49, 50, 48, 47, 45, 42, 43, 46]), Route(vehicle_id=7, seq=[46, 46]), Route(vehicle_id=9, seq=[46, 46]), Route(vehicle_id=12, seq=[73, 73]), Route(vehicle_id=10, seq=[73, 71, 74, 77, 76, 79, 80, 78, 75, 72, 73]), Route(vehicle_id=11, seq=[73, 73])])
Saved plot to: dataset_test\Osaba_100_4\base_50_mdmv_tw\solution.png",382.01310665551273,0
dataset_test\Osaba_50_1_1\base_50_mdmv_tw,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_1_1\base_50_mdmv_tw --solver dfa --seed 42 --time 5000000.0 --plot,True,42738.98495959817,68.335,0,0,0,0,0,0,41638.98495959817,1100.0,0,0,,"solver: dfa
seed: 42
time: 66.943 s
total_cost: 42738.98495959817
details: {'distance': 41638.98495959817, 'fixed': 1100.0, 'tw_penalty': 0.0, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 0, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=2, seq=[0, 11, 13, 12, 15, 16, 17, 19, 20, 18, 14, 0]), Route(vehicle_id=1, seq=[0, 0]), Route(vehicle_id=0, seq=[0, 0]), Route(vehicle_id=6, seq=[7, 9, 8, 2, 1, 3, 4, 5, 6, 10, 7]), Route(vehicle_id=5, seq=[7, 7]), Route(vehicle_id=3, seq=[7, 21, 24, 26, 29, 30, 28, 27, 25, 22, 23, 7]), Route(vehicle_id=4, seq=[7, 50, 46, 49, 48, 47, 41, 42, 43, 45, 44, 7]), Route(vehicle_id=7, seq=[38, 38]), Route(vehicle_id=10, seq=[38, 35, 31, 32, 33, 34, 36, 37, 40, 39, 38]), Route(vehicle_id=8, seq=[38, 38]), Route(vehicle_id=9, seq=[38, 38])])
Saved plot to: dataset_test\Osaba_50_1_1\base_50_mdmv_tw\solution.png",0.0,0
dataset_test\Osaba_100_2\base_50_mdmv_tw,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_100_2\base_50_mdmv_tw --solver dfa --seed 42 --time 5000000.0 --plot,True,84815.12408561914,201.499,0,0,0,0,0,0,82999.68023167056,1300.0,0,0,,"solver: dfa
seed: 42
time: 200.175 s
total_cost: 84815.12408561914
details: {'distance': 82999.68023167056, 'fixed': 1300.0, 'tw_penalty': 515.4438539485953, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 0, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 91, 92, 93, 94, 95, 97, 98, 100, 99, 96, 0]), Route(vehicle_id=1, seq=[0, 11, 12, 14, 15, 17, 19, 20, 18, 16, 13, 0]), Route(vehicle_id=2, seq=[0, 5, 6, 3, 1, 2, 8, 7, 9, 10, 4, 0]), Route(vehicle_id=3, seq=[80, 79, 77, 76, 74, 71, 72, 73, 75, 78, 80]), Route(vehicle_id=5, seq=[80, 61, 62, 63, 64, 65, 68, 67, 66, 70, 69, 51, 52, 53, 56, 57, 55, 54, 59, 60, 58, 80]), Route(vehicle_id=6, seq=[80, 80]), Route(vehicle_id=4, seq=[80, 80]), Route(vehicle_id=9, seq=[35, 30, 28, 29, 27, 26, 25, 22, 23, 21, 24, 32, 33, 34, 31, 38, 39, 40, 37, 36, 35]), Route(vehicle_id=7, seq=[35, 35]), Route(vehicle_id=8, seq=[35, 35]), Route(vehicle_id=12, seq=[46, 87, 81, 82, 83, 85, 88, 89, 86, 90, 84, 46]), Route(vehicle_id=11, seq=[46, 49, 50, 48, 47, 45, 42, 43, 41, 44, 46]), Route(vehicle_id=10, seq=[46, 46])])
Saved plot to: dataset_test\Osaba_100_2\base_50_mdmv_tw\solution.png",515.4438539485953,0
dataset_test\Osaba_50_1_2\base_50_mdmv_tw,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_1_2\base_50_mdmv_tw --solver dfa --seed 42 --time 5000000.0 --plot,True,40139.921754722505,50.507,0,0,0,0,0,0,38820.96347433176,1000.0,0,0,,"solver: dfa
seed: 42
time: 49.093 s
total_cost: 40139.921754722505
details: {'distance': 38820.96347433176, 'fixed': 1000.0, 'tw_penalty': 318.95828039075127, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 0, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=1, seq=[0, 1, 3, 6, 5, 4, 10, 7, 9, 8, 2, 0]), Route(vehicle_id=2, seq=[0, 0]), Route(vehicle_id=0, seq=[0, 11, 13, 12, 15, 16, 17, 19, 20, 18, 14, 0]), Route(vehicle_id=4, seq=[49, 49]), Route(vehicle_id=5, seq=[49, 49]), Route(vehicle_id=6, seq=[49, 21, 24, 26, 29, 30, 28, 27, 25, 22, 23, 48, 47, 41, 42, 43, 45, 46, 50, 44, 49]), Route(vehicle_id=3, seq=[49, 49]), Route(vehicle_id=9, seq=[40, 40]), Route(vehicle_id=7, seq=[40, 36, 37, 38, 35, 34, 33, 32, 31, 39, 40]), Route(vehicle_id=8, seq=[40, 40])])
Saved plot to: dataset_test\Osaba_50_1_2\base_50_mdmv_tw\solution.png",318.95828039075127,0
dataset_test\Osaba_100_3\base_50_mdmv_tw,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_100_3\base_50_mdmv_tw --solver dfa --seed 42 --time 5000000.0 --plot,True,86951.12588630093,267.713,0,0,0,0,0,0,84653.81556986725,1500.0,0,0,,"solver: dfa
seed: 42
time: 266.385 s
total_cost: 86951.12588630093
details: {'distance': 84653.81556986725, 'fixed': 1500.0, 'tw_penalty': 797.3103164336721, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 0, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=3, seq=[0, 0]), Route(vehicle_id=1, seq=[0, 83, 82, 81, 87, 88, 85, 86, 89, 90, 84, 57, 55, 54, 56, 59, 60, 58, 52, 53, 51, 0]), Route(vehicle_id=0, seq=[0, 1, 3, 6, 5, 4, 10, 7, 9, 8, 2, 91, 92, 93, 94, 95, 97, 98, 99, 100, 96, 0]), Route(vehicle_id=2, seq=[0, 0]), Route(vehicle_id=5, seq=[22, 22]), Route(vehicle_id=7, seq=[22, 23, 24, 26, 25, 27, 29, 30, 28, 21, 22]), Route(vehicle_id=4, seq=[22, 41, 42, 45, 47, 48, 50, 49, 46, 44, 43, 11, 12, 14, 15, 18, 17, 19, 20, 16, 13, 22]), Route(vehicle_id=6, seq=[22, 32, 33, 34, 31, 38, 39, 40, 37, 36, 35, 22]), Route(vehicle_id=9, seq=[73, 73]), Route(vehicle_id=8, seq=[73, 73]), Route(vehicle_id=11, seq=[73, 75, 78, 80, 79, 76, 77, 74, 71, 72, 73]), Route(vehicle_id=10, seq=[73, 73]), Route(vehicle_id=14, seq=[67, 68, 65, 61, 62, 63, 64, 66, 70, 69, 67]), Route(vehicle_id=12, seq=[67, 67]), Route(vehicle_id=13, seq=[67, 67])])
Saved plot to: dataset_test\Osaba_100_3\base_50_mdmv_tw\solution.png",797.3103164336721,0
dataset_test\Osaba_50_1_3\base_50_mdmv_tw,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_1_3\base_50_mdmv_tw --solver dfa --seed 42 --time 5000000.0 --plot,True,56736.50578336239,68.921,0,0,0,0,0,0,55400.233362596235,1100.0,0,0,,"solver: dfa
seed: 42
time: 67.55 s
total_cost: 56736.50578336239
details: {'distance': 55400.233362596235, 'fixed': 1100.0, 'tw_penalty': 236.2724207661431, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 0, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 0]), Route(vehicle_id=1, seq=[0, 0]), Route(vehicle_id=2, seq=[0, 23, 22, 25, 24, 21, 41, 42, 43, 45, 44, 29, 30, 27, 28, 26, 0]), Route(vehicle_id=3, seq=[0, 46, 47, 48, 49, 50, 31, 32, 33, 34, 35, 1, 2, 3, 5, 4, 0]), Route(vehicle_id=5, seq=[15, 6, 7, 9, 10, 8, 12, 13, 14, 11, 16, 19, 18, 17, 20, 15]), Route(vehicle_id=6, seq=[15, 15]), Route(vehicle_id=4, seq=[15, 15]), Route(vehicle_id=8, seq=[38, 38]), Route(vehicle_id=10, seq=[38, 38]), Route(vehicle_id=9, seq=[38, 37, 36, 39, 40, 38]), Route(vehicle_id=7, seq=[38, 38])])
Saved plot to: dataset_test\Osaba_50_1_3\base_50_mdmv_tw\solution.png",236.2724207661431,0
dataset_test\Osaba_100_1\base_50_mdmv_tw,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_100_1\base_50_mdmv_tw --solver dfa --seed 42 --time 5000000.0 --plot,True,90845.80844628991,274.764,0,0,0,0,0,0,89617.28132248146,1100.0,0,0,,"solver: dfa
seed: 42
time: 273.418 s
total_cost: 90845.80844628991
details: {'distance': 89617.28132248146, 'fixed': 1100.0, 'tw_penalty': 128.52712380844127, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 0, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=1, seq=[0, 1, 3, 6, 5, 4, 10, 7, 9, 8, 2, 0]), Route(vehicle_id=0, seq=[0, 61, 62, 63, 64, 65, 68, 67, 66, 70, 69, 91, 92, 93, 94, 95, 97, 98, 99, 100, 96, 0]), Route(vehicle_id=3, seq=[0, 41, 44, 46, 49, 50, 48, 47, 45, 42, 43, 0]), Route(vehicle_id=2, seq=[0, 51, 52, 53, 56, 54, 55, 57, 59, 60, 58, 83, 82, 81, 87, 88, 85, 89, 86, 90, 84, 0]), Route(vehicle_id=4, seq=[24, 16, 17, 19, 20, 18, 15, 14, 12, 11, 13, 24]), Route(vehicle_id=5, seq=[24, 21, 23, 22, 25, 26, 27, 29, 28, 30, 35, 36, 37, 40, 39, 38, 32, 33, 34, 31, 24]), Route(vehicle_id=6, seq=[24, 24]), Route(vehicle_id=7, seq=[24, 24]), Route(vehicle_id=9, seq=[73, 75, 78, 80, 79, 76, 77, 74, 71, 72, 73]), Route(vehicle_id=10, seq=[73, 73]), Route(vehicle_id=8, seq=[73, 73])])
Saved plot to: dataset_test\Osaba_100_1\base_50_mdmv_tw\solution.png",128.52712380844127,0
dataset_test\Osaba_50_2_2\base_50_mdmv_tw,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_2_2\base_50_mdmv_tw --solver dfa --seed 42 --time 5000000.0 --plot,True,41952.54322678357,70.504,0,0,0,0,0,0,40806.19996645,1000.0,0,0,,"solver: dfa
seed: 42
time: 69.098 s
total_cost: 41952.54322678357
details: {'distance': 40806.19996645, 'fixed': 1000.0, 'tw_penalty': 146.34326033357127, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 0, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=3, seq=[0, 0]), Route(vehicle_id=2, seq=[0, 0]), Route(vehicle_id=0, seq=[0, 24, 25, 27, 26, 29, 30, 28, 23, 22, 21, 0]), Route(vehicle_id=1, seq=[0, 41, 42, 43, 44, 45, 47, 48, 50, 49, 46, 11, 14, 13, 12, 18, 19, 20, 17, 16, 15, 0]), Route(vehicle_id=4, seq=[5, 5]), Route(vehicle_id=6, seq=[5, 8, 10, 9, 7, 4, 2, 1, 3, 6, 5]), Route(vehicle_id=5, seq=[5, 5]), Route(vehicle_id=8, seq=[33, 33]), Route(vehicle_id=9, seq=[33, 35, 38, 40, 39, 37, 36, 34, 31, 32, 33]), Route(vehicle_id=7, seq=[33, 33])])
Saved plot to: dataset_test\Osaba_50_2_2\base_50_mdmv_tw\solution.png",146.34326033357127,0
dataset_test\Osaba_50_1_4\base_50_mdmv_tw,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_1_4\base_50_mdmv_tw --solver dfa --seed 42 --time 5000000.0 --plot,True,63142.11952009571,93.784,0,0,0,0,0,0,61830.6237661647,1100.0,0,0,,"solver: dfa
seed: 42
time: 92.332 s
total_cost: 63142.11952009571
details: {'distance': 61830.6237661647, 'fixed': 1100.0, 'tw_penalty': 211.4957539309986, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 0, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 46, 47, 48, 49, 50, 34, 35, 33, 32, 31, 26, 28, 27, 30, 29, 0]), Route(vehicle_id=2, seq=[0, 0]), Route(vehicle_id=1, seq=[0, 11, 13, 12, 15, 14, 10, 9, 7, 6, 8, 5, 4, 3, 1, 2, 0]), Route(vehicle_id=6, seq=[42, 42]), Route(vehicle_id=3, seq=[42, 21, 24, 25, 22, 23, 39, 36, 37, 38, 40, 44, 43, 45, 41, 42]), Route(vehicle_id=4, seq=[42, 42]), Route(vehicle_id=5, seq=[42, 42]), Route(vehicle_id=9, seq=[20, 20]), Route(vehicle_id=8, seq=[20, 20]), Route(vehicle_id=10, seq=[20, 20]), Route(vehicle_id=7, seq=[20, 16, 19, 18, 17, 20])])
Saved plot to: dataset_test\Osaba_50_1_4\base_50_mdmv_tw\solution.png",211.4957539309986,0
dataset_test\Osaba_50_2_3\base_50_mdmv_tw,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_2_3\base_50_mdmv_tw --solver dfa --seed 42 --time 5000000.0 --plot,True,62526.28405130898,71.109,0,0,0,0,0,0,60797.96291978411,1300.0,0,0,,"solver: dfa
seed: 42
time: 69.615 s
total_cost: 62526.28405130898
details: {'distance': 60797.96291978411, 'fixed': 1300.0, 'tw_penalty': 428.3211315248742, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 0, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 0]), Route(vehicle_id=2, seq=[0, 0]), Route(vehicle_id=1, seq=[0, 47, 48, 49, 50, 46, 26, 27, 29, 30, 28, 3, 2, 4, 5, 1, 0]), Route(vehicle_id=5, seq=[22, 22]), Route(vehicle_id=3, seq=[22, 22]), Route(vehicle_id=4, seq=[22, 45, 41, 44, 43, 42, 21, 24, 25, 23, 8, 6, 10, 9, 7, 22]), Route(vehicle_id=7, seq=[33, 33]), Route(vehicle_id=8, seq=[33, 33]), Route(vehicle_id=9, seq=[33, 32, 31, 35, 34, 40, 39, 36, 37, 38, 33]), Route(vehicle_id=6, seq=[33, 33]), Route(vehicle_id=11, seq=[20, 20]), Route(vehicle_id=10, seq=[20, 13, 11, 12, 14, 15, 16, 17, 18, 19, 20]), Route(vehicle_id=12, seq=[20, 20])])
Saved plot to: dataset_test\Osaba_50_2_3\base_50_mdmv_tw\solution.png",428.3211315248742,0
