dataset,solver,seed,cmd,ok,return_total_cost,elapsed_wall,cap_violations,cluster_incomplete_block,cluster_refills,cluster_revisit_violations,cluster_split_violations,cluster_violation,distance,fixed,overtime_routes,prohibited_uses,stderr,stdout,tw_penalty,unserved_customers
dataset_test\Osaba_50_1_2\base_50_mdmv_tw,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_1_2\base_50_mdmv_tw --solver dfa --seed 42 --time 5.0 --plot,True,39774.53723735656,579.291,0,0,0,0,0,0,38693.368609250654,1000.0,0,0,,"solver: dfa
seed: 42
time: 574.711 s
total_cost: 39774.53723735656
details: {'distance': 38693.368609250654, 'fixed': 1000.0, 'tw_penalty': 81.16862810591454, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 0, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 3, 1, 2, 8, 7, 9, 10, 5, 6, 4, 0]), Route(vehicle_id=2, seq=[0, 0]), Route(vehicle_id=1, seq=[0, 11, 13, 12, 15, 16, 17, 19, 18, 20, 14, 0]), Route(vehicle_id=3, seq=[49, 49]), Route(vehicle_id=6, seq=[49, 23, 22, 25, 27, 28, 30, 29, 26, 24, 21, 49]), Route(vehicle_id=5, seq=[49, 49]), Route(vehicle_id=4, seq=[49, 46, 50, 44, 43, 42, 41, 47, 48, 45, 49]), Route(vehicle_id=7, seq=[40, 36, 37, 38, 35, 34, 33, 32, 31, 39, 40]), Route(vehicle_id=9, seq=[40, 40]), Route(vehicle_id=8, seq=[40, 40])])
Saved plot to: dataset_test\Osaba_50_1_2\base_50_mdmv_tw\solution.png",81.16862810591454,0
dataset_test\Osaba_50_2_3\base_50_mdmv_tw,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_2_3\base_50_mdmv_tw --solver dfa --seed 42 --time 5.0 --plot,True,62740.17956065293,652.189,0,0,0,0,0,0,61151.33538734993,1300.0,0,0,,"solver: dfa
seed: 42
time: 647.597 s
total_cost: 62740.17956065293
details: {'distance': 61151.33538734993, 'fixed': 1300.0, 'tw_penalty': 288.8441733029996, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 0, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 0]), Route(vehicle_id=1, seq=[0, 1, 2, 3, 4, 5, 26, 27, 29, 30, 28, 46, 47, 48, 49, 50, 0]), Route(vehicle_id=2, seq=[0, 0]), Route(vehicle_id=3, seq=[22, 22]), Route(vehicle_id=5, seq=[22, 22]), Route(vehicle_id=4, seq=[22, 45, 41, 44, 43, 42, 21, 24, 25, 23, 9, 10, 8, 6, 7, 22]), Route(vehicle_id=6, seq=[33, 33]), Route(vehicle_id=7, seq=[33, 32, 31, 35, 34, 40, 39, 36, 37, 38, 33]), Route(vehicle_id=8, seq=[33, 33]), Route(vehicle_id=9, seq=[33, 33]), Route(vehicle_id=11, seq=[20, 20]), Route(vehicle_id=12, seq=[20, 13, 11, 12, 14, 15, 16, 17, 18, 19, 20]), Route(vehicle_id=10, seq=[20, 20])])
Saved plot to: dataset_test\Osaba_50_2_3\base_50_mdmv_tw\solution.png",288.8441733029996,0
dataset_test\Osaba_50_2_2\base_50_mdmv_tw,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_2_2\base_50_mdmv_tw --solver dfa --seed 42 --time 5.0 --plot,True,41382.45788053321,701.733,0,0,0,0,0,0,40005.88537808223,1000.0,0,0,,"solver: dfa
seed: 42
time: 698.976 s
total_cost: 41382.45788053321
details: {'distance': 40005.88537808223, 'fixed': 1000.0, 'tw_penalty': 376.57250245099067, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 0, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=1, seq=[0, 12, 15, 16, 17, 20, 19, 18, 14, 13, 11, 50, 49, 47, 48, 46, 44, 45, 43, 42, 41, 0]), Route(vehicle_id=3, seq=[0, 0]), Route(vehicle_id=2, seq=[0, 0]), Route(vehicle_id=0, seq=[0, 24, 25, 27, 26, 29, 30, 28, 23, 22, 21, 0]), Route(vehicle_id=4, seq=[5, 6, 8, 10, 9, 7, 4, 2, 1, 3, 5]), Route(vehicle_id=6, seq=[5, 5]), Route(vehicle_id=5, seq=[5, 5]), Route(vehicle_id=7, seq=[33, 33]), Route(vehicle_id=9, seq=[33, 33]), Route(vehicle_id=8, seq=[33, 32, 31, 34, 37, 36, 39, 40, 38, 35, 33])])
Saved plot to: dataset_test\Osaba_50_2_2\base_50_mdmv_tw\solution.png",376.57250245099067,0
dataset_test\Osaba_50_1_4\base_50_mdmv_tw,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_1_4\base_50_mdmv_tw --solver dfa --seed 42 --time 5.0 --plot,True,62610.38785196239,739.768,0,0,0,0,0,0,60080.663503553806,1100.0,0,0,,"solver: dfa
seed: 42
time: 737.455 s
total_cost: 62610.38785196239
details: {'distance': 60080.663503553806, 'fixed': 1100.0, 'tw_penalty': 1429.7243484085834, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 0, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=2, seq=[0, 0]), Route(vehicle_id=0, seq=[0, 6, 7, 9, 10, 8, 15, 12, 14, 13, 11, 0]), Route(vehicle_id=1, seq=[0, 4, 5, 3, 1, 2, 29, 30, 27, 28, 26, 33, 34, 35, 32, 31, 50, 49, 48, 47, 46, 0]), Route(vehicle_id=4, seq=[42, 42]), Route(vehicle_id=5, seq=[42, 42]), Route(vehicle_id=6, seq=[42, 42]), Route(vehicle_id=3, seq=[42, 41, 45, 43, 44, 39, 36, 37, 38, 40, 23, 22, 25, 24, 21, 42]), Route(vehicle_id=9, seq=[20, 20]), Route(vehicle_id=8, seq=[20, 20]), Route(vehicle_id=7, seq=[20, 20]), Route(vehicle_id=10, seq=[20, 17, 18, 19, 16, 20])])
Saved plot to: dataset_test\Osaba_50_1_4\base_50_mdmv_tw\solution.png",1429.7243484085834,0
dataset_test\Osaba_50_2_1\base_50_mdmv_tw,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_2_1\base_50_mdmv_tw --solver dfa --seed 42 --time 5.0 --plot,True,42620.41338209544,819.647,0,0,0,0,0,0,41172.29530130329,1200.0,0,0,,"solver: dfa
seed: 42
time: 817.463 s
total_cost: 42620.41338209544
details: {'distance': 41172.29530130329, 'fixed': 1200.0, 'tw_penalty': 248.1180807921437, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 0, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=1, seq=[0, 0]), Route(vehicle_id=0, seq=[0, 11, 14, 13, 12, 18, 19, 20, 17, 16, 15, 6, 8, 10, 9, 7, 4, 5, 2, 1, 3, 0]), Route(vehicle_id=2, seq=[0, 24, 25, 27, 26, 29, 30, 28, 23, 22, 21, 0]), Route(vehicle_id=3, seq=[0, 0]), Route(vehicle_id=7, seq=[47, 47]), Route(vehicle_id=6, seq=[47, 47]), Route(vehicle_id=4, seq=[47, 45, 44, 43, 42, 41, 46, 49, 50, 48, 47]), Route(vehicle_id=5, seq=[47, 47]), Route(vehicle_id=11, seq=[33, 33]), Route(vehicle_id=10, seq=[33, 33]), Route(vehicle_id=9, seq=[33, 32, 31, 34, 37, 36, 39, 40, 38, 35, 33]), Route(vehicle_id=8, seq=[33, 33])])
Saved plot to: dataset_test\Osaba_50_2_1\base_50_mdmv_tw\solution.png",248.1180807921437,0
dataset_test\Osaba_50_1_1\base_50_mdmv_tw,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_1_1\base_50_mdmv_tw --solver dfa --seed 42 --time 5.0 --plot,True,42710.77538416028,837.874,0,0,0,0,0,0,41607.89594637182,1100.0,0,0,,"solver: dfa
seed: 42
time: 835.865 s
total_cost: 42710.77538416028
details: {'distance': 41607.89594637182, 'fixed': 1100.0, 'tw_penalty': 2.87943778845613, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 0, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=1, seq=[0, 0]), Route(vehicle_id=0, seq=[0, 11, 13, 12, 15, 16, 17, 19, 20, 18, 14, 0]), Route(vehicle_id=2, seq=[0, 0]), Route(vehicle_id=3, seq=[0, 0]), Route(vehicle_id=5, seq=[7, 7]), Route(vehicle_id=7, seq=[7, 50, 46, 49, 48, 47, 41, 42, 43, 45, 44, 7]), Route(vehicle_id=4, seq=[7, 9, 8, 2, 1, 3, 4, 5, 6, 10, 7]), Route(vehicle_id=6, seq=[7, 21, 24, 26, 29, 30, 28, 27, 25, 22, 23, 7]), Route(vehicle_id=8, seq=[38, 34, 33, 31, 32, 35, 36, 37, 40, 39, 38]), Route(vehicle_id=10, seq=[38, 38]), Route(vehicle_id=9, seq=[38, 38])])
Saved plot to: dataset_test\Osaba_50_1_1\base_50_mdmv_tw\solution.png",2.87943778845613,0
dataset_test\Osaba_50_1_3\base_50_mdmv_tw,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_1_3\base_50_mdmv_tw --solver dfa --seed 42 --time 5.0 --plot,True,56765.04132397527,838.88,0,0,0,0,0,0,55421.94760125317,1100.0,0,0,,"solver: dfa
seed: 42
time: 836.736 s
total_cost: 56765.04132397527
details: {'distance': 55421.94760125317, 'fixed': 1100.0, 'tw_penalty': 243.09372272211, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 0, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=2, seq=[0, 23, 22, 25, 24, 21, 41, 42, 43, 45, 44, 29, 30, 27, 28, 26, 0]), Route(vehicle_id=1, seq=[0, 0]), Route(vehicle_id=3, seq=[0, 47, 46, 48, 49, 50, 33, 34, 35, 32, 31, 1, 3, 2, 5, 4, 0]), Route(vehicle_id=0, seq=[0, 0]), Route(vehicle_id=5, seq=[15, 15]), Route(vehicle_id=6, seq=[15, 6, 7, 9, 10, 8, 12, 13, 14, 11, 17, 18, 19, 16, 20, 15]), Route(vehicle_id=4, seq=[15, 15]), Route(vehicle_id=10, seq=[38, 38]), Route(vehicle_id=8, seq=[38, 38]), Route(vehicle_id=9, seq=[38, 37, 36, 39, 40, 38]), Route(vehicle_id=7, seq=[38, 38])])
Saved plot to: dataset_test\Osaba_50_1_3\base_50_mdmv_tw\solution.png",243.09372272211,0
dataset_test\Osaba_50_2_4\base_50_mdmv_tw,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_50_2_4\base_50_mdmv_tw --solver dfa --seed 42 --time 5.0 --plot,True,54013.58331915179,863.227,0,0,0,0,0,0,52476.376993330465,1300.0,0,0,,"solver: dfa
seed: 42
time: 861.013 s
total_cost: 54013.58331915179
details: {'distance': 52476.376993330465, 'fixed': 1300.0, 'tw_penalty': 237.2063258213268, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 0, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 0]), Route(vehicle_id=1, seq=[0, 31, 32, 33, 35, 34, 50, 49, 48, 47, 46, 1, 2, 3, 4, 5, 7, 9, 10, 8, 6, 0]), Route(vehicle_id=2, seq=[0, 0]), Route(vehicle_id=3, seq=[0, 0]), Route(vehicle_id=6, seq=[16, 16]), Route(vehicle_id=5, seq=[16, 16]), Route(vehicle_id=4, seq=[16, 20, 17, 18, 19, 13, 11, 12, 14, 15, 16]), Route(vehicle_id=9, seq=[38, 38]), Route(vehicle_id=7, seq=[38, 38]), Route(vehicle_id=8, seq=[38, 40, 39, 37, 36, 30, 29, 27, 26, 28, 38]), Route(vehicle_id=10, seq=[21, 42, 43, 44, 41, 45, 22, 23, 25, 24, 21]), Route(vehicle_id=11, seq=[21, 21]), Route(vehicle_id=12, seq=[21, 21])])
Saved plot to: dataset_test\Osaba_50_2_4\base_50_mdmv_tw\solution.png",237.2063258213268,0
dataset_test\Osaba_80_2\base_50_mdmv_tw,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_80_2\base_50_mdmv_tw --solver dfa --seed 42 --time 5.0 --plot,True,73557.35507761089,986.895,0,0,0,0,0,0,71909.95586616141,1000.0,0,0,,"solver: dfa
seed: 42
time: 984.883 s
total_cost: 73557.35507761089
details: {'distance': 71909.95586616141, 'fixed': 1000.0, 'tw_penalty': 647.3992114494783, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 0, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=0, seq=[0, 32, 33, 34, 38, 39, 40, 37, 36, 35, 31, 0]), Route(vehicle_id=1, seq=[0, 5, 6, 3, 1, 2, 8, 7, 9, 10, 4, 0]), Route(vehicle_id=2, seq=[0, 54, 55, 57, 56, 59, 60, 58, 53, 52, 51, 61, 62, 63, 64, 65, 68, 67, 66, 70, 69, 0]), Route(vehicle_id=6, seq=[20, 20]), Route(vehicle_id=4, seq=[20, 30, 28, 26, 25, 27, 29, 22, 23, 24, 21, 20]), Route(vehicle_id=5, seq=[20, 19, 17, 14, 15, 18, 16, 13, 12, 11, 42, 45, 47, 48, 50, 49, 46, 44, 41, 43, 20]), Route(vehicle_id=3, seq=[20, 20]), Route(vehicle_id=9, seq=[73, 72, 71, 74, 77, 76, 79, 80, 78, 75, 73]), Route(vehicle_id=8, seq=[73, 73]), Route(vehicle_id=7, seq=[73, 73])])
Saved plot to: dataset_test\Osaba_80_2\base_50_mdmv_tw\solution.png",647.3992114494783,0
dataset_test\Osaba_80_3\base_50_mdmv_tw,dfa,42,C:\Program Files\Python313\python.exe -m vrp.experiments.run_experiment --data dataset_test\Osaba_80_3\base_50_mdmv_tw --solver dfa --seed 42 --time 5.0 --plot,True,72865.32276000293,1046.172,0,0,0,0,0,0,70901.08741548938,1600.0,0,0,,"solver: dfa
seed: 42
time: 1043.999 s
total_cost: 72865.32276000293
details: {'distance': 70901.08741548938, 'fixed': 1600.0, 'tw_penalty': 364.2353445135483, 'cap_violations': 0, 'overtime_routes': 0, 'prohibited_uses': 0, 'cluster_refills': 0, 'cluster_violation': 0, 'cluster_revisit_violations': 0, 'cluster_split_violations': 0, 'cluster_incomplete_block': 0, 'unserved_customers': 0}
solution: Solution(routes=[Route(vehicle_id=3, seq=[0, 0]), Route(vehicle_id=0, seq=[0, 25, 28, 27, 26, 32, 31, 30, 29, 24, 22, 23, 21, 18, 19, 20, 17, 0]), Route(vehicle_id=1, seq=[0, 4, 5, 6, 3, 1, 2, 8, 7, 0]), Route(vehicle_id=2, seq=[0, 41, 42, 43, 44, 45, 47, 46, 48, 73, 74, 75, 76, 77, 80, 79, 78, 0]), Route(vehicle_id=4, seq=[40, 40]), Route(vehicle_id=5, seq=[40, 9, 10, 12, 13, 15, 16, 14, 11, 40]), Route(vehicle_id=6, seq=[40, 40]), Route(vehicle_id=7, seq=[40, 65, 66, 67, 69, 71, 72, 70, 68, 33, 35, 34, 37, 36, 38, 39, 40]), Route(vehicle_id=11, seq=[59, 61, 64, 63, 62, 60, 57, 58, 59]), Route(vehicle_id=10, seq=[59, 59]), Route(vehicle_id=9, seq=[59, 59]), Route(vehicle_id=8, seq=[59, 59]), Route(vehicle_id=15, seq=[55, 55]), Route(vehicle_id=13, seq=[55, 55]), Route(vehicle_id=12, seq=[55, 56, 53, 49, 50, 51, 52, 54, 55]), Route(vehicle_id=14, seq=[55, 55])])
Saved plot to: dataset_test\Osaba_80_3\base_50_mdmv_tw\solution.png",364.2353445135483,0
